Time	Mag	MagErr	Filter	Telescope	Source
109.0	15.54	0.08	CR	TNT	deng09
134.0	15.76	0.08	CR	TNT	deng09
160.0	15.89	0.08	CR	TNT	deng09
215.0	16.66	0.03	white	UVOT	deng09
197.0	16.19	0.08	CR	TNT	deng09
230.0	16.38	0.08	CR	TNT	deng09
257.0	16.56	0.08	CR	TNT	deng09
347.0	16.88	0.08	CR	TNT	deng09
467.0	17.3	0.08	CR	TNT	deng09
620.0	17.57	0.06	v	UVOT	deng09
591.0	17.61	0.08	CR	TNT	deng09
670.0	18.33	0.41	uvw1	UVOT	deng09
694.0	17.61	0.2	u	UVOT	deng09
795.0	18.5	0.43	uvm2	UVOT	deng09
722.0	18.7	0.22	white	UVOT	deng09
770.0	17.94	0.32	v	UVOT	deng09
857.0	18.85	0.3	b	UVOT	deng09
842.0	18.17	0.27	u	UVOT	deng09
960.0	18.62	0.07	white	UVOT	deng09
1250.0	18.31	0.07	RC	TNT	deng09
1360.0	18.72	0.12	v	UVOT	deng09
1920.0	18.98	0.35	uvm2	UVOT	deng09
1475.0	18.7	0.21	white	UVOT	deng09
1600.0	18.79	0.28	u	UVOT	deng09
1740.0	18.73	0.1	RC	TNT	deng09
1780.0	19.98	0.4	b	UVOT	deng09
1795.0	19.24	0.33	white	UVOT	deng09
2460.0	19.0	0.08	CR	TNT	deng09
3090.0	19.17	0.1	RC	TNT	deng09
3940.0	20.07	100.0	BJ	TNT	deng09
3950.0	19.4	100.0	VJ	TNT	deng09
5160.0	20.6	100.0	BJ	Xinglong	deng09
5320.0	19.84	0.25	u	UVOT	deng09
5730.0	20.61	0.19	white	UVOT	deng09
6905.0	21.2	0.4	b	UVOT	deng09
7565.0	19.94	0.31	v	UVOT	deng09
7160.0	20.86	0.23	white	UVOT	deng09
13650.0	20.78	0.2	RC	TNT	deng09
11750.0	21.15	0.39	uvm2	UVOT	deng09
12650.0	20.96	0.29	uvw1	UVOT	deng09
12950.0	20.52	0.33	u	UVOT	deng09
13420.0	20.46	0.31	u	UVOT	deng09
16400.0	21.06	0.2	RC	MDM	deng09
19180.0	21.55	0.3	RC	MDM	deng09
20200.0	21.07	0.15	RC	Skinakas	deng09
22400.0	22.44	0.3	BJ	MDM	deng09
22300.0	21.1	0.15	RC	Skinakas	deng09
23880.0	21.57	0.2	RC	MDM	deng09
24800.0	21.36	0.2	RC	Skinakas	deng09
