Time	Mag	MagErr	Band		GCN
113	>16.4	?	R		19622
153.5	>16.9	?	R		19622
452.	>17.1	?	R		19622
 615    17.40  0.03	Rc		19623
 688    17.55  0.03	Rc		19623
 848    17.71  0.02	Rc		19623
1039    17.85  0.05	Rc		19623
1118    18.13  0.08	Rc		19623
1393    18.21  0.09	Rc		19623
1508    18.24  0.11	Rc		19623
1648    18.41  0.10	Rc		19623
1964    18.55  0.09	Rc		19623
3859    19.25  0.07	Rc		19623
4066    19.18  0.04	Rc		19623
4262    19.25  0.04	Rc		19623
4483    19.29  0.11	Rc		19623
4725    19.24  0.05	Rc		19623
4926    19.24  0.03	Rc		19623
5132    19.33  0.04	Rc		19623
5347    19.30  0.04	Rc		19623
5585    19.43  0.05	Rc		19623
5824    19.44  0.06	Rc		19623
134	>17	?	?		19638
83134	>21.4	?	u_swift		19643
74798.2	>21.4	?	Clear		19646
167398	22.2	0.2	Clear		19646
344048	>23.4	?	Clear		19669
161081	21.73	0.15	R		19670
