time_sec	flux	flux_err	band
22780.0	6.133882629304499e-13	3.6313245044583195e-14	g'
22780.0	7.856453088885606e-13	3.3934851635717834e-14	i'
22780.0	9.09240777446176e-13	6.407398214617748e-14	z'
22780.0	4.522572003177314e-13	5.773403594739877e-14	J
22780.0	3.696499659807042e-13	6.605550812810668e-14	H
22780.0	2.7039023061841464e-13	6.728750657467438e-14	K
22784.0	3.156703132662291e-11	3.625999269978424e-12	u
22805.0	1.5734881055493854e-12	1.251892347091538e-13	v
22839.0	5.503809280312806e-19	1.0634587047421516e-19	w1
23348.0	4.643729500946252e-19	1.0941196603533357e-19	w2
23428.0	9.27453257161689e-19	2.0401299280164637e-19	m2
