time_sec	flux	flux_err	band_init	band_norm	source
1692	3.910613298479223e-13	6.192060862109805e-14	J	R	14845
1692	3.117647278584675e-13	6.311810094900514e-14	H	R	14845
10920	7.432999718525132e-14	8.601174976377137e-15	B	R	14854
10920	8.253101285873205e-14	1.980031427213217e-14	V	R	14854
10920	9.942217691329588e-14	1.6482817618097173e-14	R	R	14854
1736	5.793081780729292e-13	1.0861889291441908e-13	b_swift	R	14859
12909	5.283353377300349e-14	1.858345900907762e-14	b_swift	R	14859
369.5	9.718717940884681e-13	9.611912364140733e-14	u_swift	R	14859
1797	2.8550188376552225e-13	8.037650672451455e-14	u_swift	R	14859
3717	2.0206135829227902e-13	5.95537243486631e-14	R	R	14891
4034	1.463805140885235e-13	5.932143177752687e-14	R	R	14891
4351	1.463805140885235e-13	5.797321741894672e-14	R	R	14891
59270.4	2.867366903273726e-14	1.3204712575245163e-15	R	R	14907
