z=   5.1999998e+00 0.
TotalEnergy(erg)    3.8469031531960428e+49    1.9775620122197148e+49
TotalEnergy_common(erg)    0.0000000000000000e+00    0.0000000000000000e+00
Energy1(erg)    5.3495044198033696e+49    5.2978500239645843e+49
Energy2(erg)   -5.7474099873123250e+49    5.4199687603899583e+49
Energy3(erg)    6.1222842113458630e+49    8.3461586093392451e+49
Energy4(erg)   -1.8774754906413752e+49    7.3077304582807467e+49
T_min_T_max    6.2967743872603869e+01    5.2337098384275691e+02
Interval1    6.2967743872603869e+01    1.1351339630611512e+03
Interval2    1.1351339630611512e+03    0.0000000000000000e+00
Interval3    0.0000000000000000e+00    1.4263741895234616e+03
Interval4    1.4263741895234616e+03    5.2337098384275691e+02
