time_sec	flux	flux_err	band	logF	logT	mag	mag_err
63878.4	4.745166266923245e-13	1.3111378931994803e-13	R	-12.323748565630323	4.8053540295723725	18.7	0.3
63878.4	4.943128751404234e-13	1.3777053634508402e-13	v	-12.305998077523002	4.8053540295723725	19.0	0.3
65801.4	3.9468573886852617e-13	1.0905569984832106e-13	R	-12.403748565630323	4.818235133823781	18.9	0.3
65800.4	2.1577539607895143e-13	7.988388496066473e-14	v	-12.665998077523001	4.818228533693967	19.9	0.4
66576.4	3.4833885701267896e-13	3.451129170764039e-14	v	-12.457998077523003	4.823320307756594	19.38	0.1
69076.4	8.626927548385031e-13	1.2086915817065549e-13	u	-12.06414384928665	4.8393296957038325	18.81	0.05
84941.4	2.3946621455840944e-13	4.591928549014862e-15	r	-12.620755751000448	4.929119414734058	19.65	0.02
84941.4	2.2482537234037635e-13	9.978033938217491e-15	i	-12.648154678665145	4.929119414734058	19.52	0.02
84941.4	2.23369512207429e-13	1.8661391383937815e-14	z	-12.650976104200046	4.929119414734058	19.36	0.03
84941.4	1.2913118739525432e-13	1.4248195803136005e-14	Y	-12.888968855503402	4.929119414734058	19.2	0.03
84941.4	8.862065377055035e-14	1.3064226379913611e-14	J	-13.052465050423848	4.929119414734058	19.18	0.03
84941.4	5.2746275413070754e-14	1.1171864713245773e-14	H	-13.277808201900607	4.929119414734058	18.98	0.03
390488.4	7.038035196539361e-13	1.1668085947813645e-14	R	-12.152548565630322	5.591608137084466	18.272	0.018
188549.4	9.710559395494919e-14	2.732549895736298e-15	r	-13.012755751000448	5.275425154736316	20.63	0.03
188549.4	9.37228143560215e-14	4.585573273506634e-15	i	-13.028154678665144	5.275425154736316	20.47	0.03
188549.4	9.484706487241913e-14	8.660239301369667e-15	z	-13.022976104200046	5.275425154736316	20.29	0.05
188549.4	4.9548572222580265e-14	6.1822427149903755e-15	Y	-13.304968855503402	5.275425154736316	20.24	0.07
188549.4	3.5606964336432455e-14	2.0341450266941013e-14	J	-13.448465050423849	5.275425154736316	20.17	0.6
188549.4	2.2191762614378542e-14	4.938679186364744e-15	H	-13.653808201900606	5.275425154736316	19.92	0.08
289637.4	5.485854048626066e-14	2.5431798336172705e-15	r	-13.260755751000449	5.4618546402768295	21.25	0.05
289637.4	5.343740024340462e-14	3.272853948764042e-15	i	-13.272154678665144	5.4618546402768295	21.08	0.05
289637.4	4.753613806107409e-14	5.129813725601454e-15	z	-13.322976104200047	5.4618546402768295	21.04	0.08
289637.4	3.069242084607466e-14	4.329072227979791e-15	Y	-13.512968855503402	5.4618546402768295	20.76	0.1
289637.4	2.0115690714473812e-14	3.555011781462004e-15	J	-13.696465050423846	5.4618546402768295	20.79	0.11
289637.4	1.2083473614778424e-14	2.920946605106538e-15	H	-13.917808201900606	5.4618546402768295	20.58	0.13
115416.4	1.8906395178720827e-13	4.0156743392953764e-14	g	-12.723391268787424	5.06226752392761	20.16	0.22
115416.4	1.7950165060589e-13	3.968810527859028e-14	R_c	-12.745931553516114	5.06226752392761	19.74	0.24
115416.4	2.6894466940385723e-13	4.418425415697772e-14	I_c	-12.570337059195605	5.06226752392761	18.85	0.17
