Time	Mag	MagErr	Filter
57749.76	16.04	0.05	J
144054.72	16.2	0.24	J
58829.759999999995	15.78	0.05	H
145376.64	15.86	0.08	H
59788.799999999996	15.69	0.06	Ks
146819.52	15.76	0.1	Ks
315239.04	15.62	0.06	Ks
567596.16	16.42	0.05	I
2.81621664e6	16.36	0.05	I
3.3048e7	16.81	0.05	R
3.32208e7	17.07	0.05	V
