date	time	exp	mag	mag_err	band	source
2008-10-28	06:17:24.000	264.0	19.9	0.1	g'	manual
2008-10-28	06:17:24.000	264.0	19.3	0.1	r'	manual
2008-10-28	06:17:24.000	264.0	19.2	0.1	i'	manual
2008-10-28	06:17:24.000	264.0	19.1	0.1	z'	manual
2008-10-28	06:17:12.000	240.0	19.0	0.15	J	manual
2008-10-28	06:17:12.000	240.0	18.7	0.15	H	manual
2008-10-28	06:17:12.000	240.0	19.0	0.15	K	manual
2008-10-28	01:06:09.000	1380.0	21.62	0.07	R	manual
2008-10-28	00:39:45.000	1800.0	21.32	0.09	I	manual
2008-10-28	01:12:09.000	1800.0	21.43	0.09	I	manual
2008-10-28	00:44:33.000	1800.0	21.2	0.08	I	manual
2008-10-28	00:17:06.000	1800.0	20.66	0.05	I	manual
2008-10-29	07:46:50.000	460.0	21.26	0.05	g'	manual
2008-10-29	07:46:50.000	460.0	20.49	0.05	r'	manual
2008-10-29	07:46:50.000	460.0	20.24	0.05	i'	manual
2008-10-29	07:46:50.000	460.0	19.99	0.05	z'	manual
2008-10-29	07:47:10.000	480.0	19.6	0.1	J	manual
2008-10-28	12:13:59.000	7.8	17.7	0.1	J	manual
2008-10-28	12:13:59.000	7.8	17.0	0.1	H	manual
2008-10-28	12:13:59.000	7.8	16.1	0.1	Ks	manual
2008-10-28	05:56:07.000	1770.3	20.23	0.19	v	manual
2008-10-28	07:46:41.000	1433.5	20.19	0.14	b	manual
2008-10-28	07:32:31.000	2539.8	21.21	0.26	u	manual
