time_sec	flux	flux_err	band
885.0	2.691006467428163e-14	2.2652055651443454e-15	I
1173.0	3.005486223010313e-14	2.2578449143484012e-15	I
2469.0	3.2229341658667924e-14	2.077902446487301e-15	R
2829.0	2.4317265780747762e-14	2.0469518168155227e-15	I
19867.0	1.6182591645542612e-13	2.837330253403814e-14	v
21132.0	9.808097388097212e-14	1.4192225558909104e-14	J
25651.0	1.0032217839775382e-13	2.434564255270101e-14	u
42539.0	3.247766287731099e-13	3.301562375595383e-14	J
112910.0	1.1073186603372142e-13	5.102402509482708e-15	r'
21144.0	3.313390468783394e-13	3.052196079525036e-14	r'
112930.0	5.6439709464033776e-14	5.7374578324774046e-15	J
