time_sec	flux	flux_err	band	logF	logT	mag	mag_err	source
21144.0	2.7508178593403173e-13	2.5864974903427285e-14	g'	-12.607100178910692	4.325187150123654	19.9	0.1	manual
21144.0	3.56848604682323e-13	3.287182487113528e-14	r'	-12.47972738136961	4.325187150123654	19.3	0.1	manual
21144.0	3.1331998723957004e-13	2.910160561544535e-14	i'	-12.52794841210816	4.325187150123654	19.2	0.1	manual
21144.0	2.855025071932122e-13	2.7132923332901916e-14	z'	-12.562194440480274	4.325187150123654	19.1	0.1	manual
21132.0	1.0036434660275148e-13	1.452262746480657e-14	J	-13.00841523053944	4.324940602014902	19.0	0.15	manual
21132.0	6.30940408145486e-14	9.564426431735274e-15	H	-13.20634115938912	4.324940602014902	18.7	0.15	manual
21132.0	2.2223569807244053e-14	3.571901144080134e-15	K	-13.657443437928304	4.324940602014902	19.0	0.15	manual
2469.0	3.4580206304134464e-14	2.2294682913596446e-15	R	-13.491748565630322	3.3925210899319325	21.62	0.07	manual
885.0	2.8257292999567864e-14	2.3786110562457873e-15	I	-13.570085258473709	2.9469432706978256	21.32	0.09	manual
2829.0	2.5534687947876443e-14	2.14943062916656e-15	I	-13.614085258473708	3.4516329474569907	21.43	0.09	manual
1173.0	3.155953203298428e-14	2.3708819010495424e-15	I	-13.522085258473709	3.0692980121155293	21.2	0.08	manual
-474.0	5.189560207293532e-14	2.5078241214617765e-15	I	-13.306085258473708	20.66	0.05		manual
112910.0	7.860711101397766e-14	3.913578917641638e-15	g'	-13.151100178910694	5.0527324074032185	21.26	0.05	manual
112910.0	1.192570337250722e-13	5.495232853449479e-15	r'	-12.95572738136961	5.0527324074032185	20.49	0.05	manual
112910.0	1.2022314926137123e-13	5.721258647289997e-15	i'	-12.943948412108162	5.0527324074032185	20.24	0.05	manual
112910.0	1.2577951808728466e-13	6.498678113022724e-15	z'	-12.918194440480272	5.0527324074032185	19.99	0.05	manual
112930.0	5.775365331997186e-14	5.8710286381969406e-15	J	-13.24841523053944	5.052809328140562	19.6	0.1	manual
42539.0	3.323375864743654e-13	3.3784243516687064e-14	J	-12.488415230539442	4.628787276361574	17.7	0.1	manual
42539.0	3.019870658007569e-13	3.3594938812668355e-14	H	-12.52634115938912	4.628787276361574	17.0	0.1	manual
42539.0	4.409378682670075e-13	4.937638377040662e-14	Ks	-12.3598798613946	4.628787276361574	16.1	0.1	manual
19867.0	1.7835911737949736e-13	3.127210590218667e-14	v	-12.790951924798785	4.29813229177961	20.23	0.19	manual
25651.0	1.1758582556019814e-13	2.8535090884917744e-14	u	-12.998603046132056	4.409104300676543	21.21	0.26	manual
