Time	Mag	MagErr	Band		GCN
214	>19.6	?	White_swift	18979
544	18.9  	0.1 	g'		18980
544	18.0  	0.1 	r'		18980
544	17.7  	0.1 	i'		18980
544	17.6  	0.1 	z'		18980
544	17.0  	0.1  	J		18980
544	16.7  	0.1 	H		18980
1394	>18.04	?	R		18981
226.	20.56	0.3	white(FC)_swift	18984
10475.	21.9	0.3	white_swift	18984
5046.	>20.7	?	b_swift		18984
390.5	>19.5	?	u_swift		18984
5662.	>19.7	?	v_swift		18984
6071.5	>19.7	?	uvw1_swift	18984
5866.	>19.6	?	uvm2_swift	18984
5457.	>19.9	?	uvw2_swift	18984
194.	>17.2	?	R		18985
198.	>16.3	?	R		18985
39120	>19.5	?	R		18985
480.	>17	?	I		18987
18000.	>20	?	I		18987
117648.	23.35	0.21	r		18989
117648.	22.90	0.13	i		18989
117648.	>20.55	?	z		18989
69158.9	23.0	0.5	R		18990
46872	22.30	0.50	R		18999
57528	>21.0	?	g'		19003	
57528	>20.8	?	Rc		19003
57528	>20.1	?	Ic		19003
285696.	>24.20	?	r		19007
285696.	>24.14	?	i		19007
285696	>19.92	?	z		19007
