z=   3.0820000e+00 0.
Total_Energy(erg)    3.9569683402276644e+06    3.5624370954567561e+05
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    1.6805487435451909e+02    1.8564429123302414e+03
