Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
            129.2000              10.0000    2.7289763254813983e-16    1.2567400774163551e-17
            191.1000              10.0000    5.1999572384131602e-16    1.9157350985702821e-17
            274.2000              20.0000    4.5289734146627688e-16    1.6685355154206743e-17
            377.1000              20.0000    2.7039569197719333e-16    1.2452182149602279e-17
            519.9000              40.0000    2.1478293194834873e-16    7.9128958651369430e-18
            712.1000              40.0000    1.2359467588368620e-16    5.6917453291176191e-18
            905.1000              40.0000    8.7096311002241098e-17    5.6153068479719259e-18
            994.0000              40.0000    6.9823201702498316e-17    5.1447637764362806e-18
           1275.9000              40.0000    6.3095699376813729e-17    5.8113288399794480e-18
           1365.2000              40.0000    5.8076409399118675e-17    4.2792281083750190e-18
           1648.8000              40.0000    5.5462540360844346e-17    4.0866311145883402e-18
           1738.1000              40.0000    5.2966314810174347e-17    3.4148646118634783e-18
           2195.0000              40.0000    4.6131731598843142e-17    3.8240006598509601e-18
           2283.9000              40.0000    4.9659204365186728e-17    5.0311600676904627e-18
           2375.0000              40.0000    4.1686914918258732e-17    3.8395068650791487e-18
           3093.7000             200.0000    2.5351271869237365e-17    1.6344569464998772e-18
           4059.2000             240.0000    2.2490533211475360e-17    1.4500183039174645e-18
           7548.4000             280.0000    1.0185907941994438e-17    8.4434113659727996e-19
          10653.8000             360.0000    5.7543959695017819e-18    1.0069989937599493e-18
