time_sec	flux_R	flux_err_R	band	source
694.75	4.215826621210318e-11	2.761812423471223e-12	R	GCN8603
669.75	3.894929902771986e-12	3.590754447883093e-10	R	GCN8603
866.5	3.783646191264215e-13	3.490599106846557e-11	R	GCN8603
620.75	6.712952914500904e-12	1.5478490267059392e-12	R	GCN8603
134	4.869861199553233e-11	9.090669963506823e-13	R	GCN8617
235	1.1972256790118388e-10	1.100194383222197e-12	R	GCN8617
345	1.4867489020442893e-10	1.4412894960992038e-12	R	GCN8617
476	1.294561100069712e-10	1.197552356860573e-12	R	GCN8617
625	9.861089656416204e-11	9.655310083778448e-13	R	GCN8617
14600	1.3134604363468567e-12	2.9061510632283e-13	R	GCN8619
18100	9.342423236405188e-13	2.2377063704220534e-13	R	GCN8619
19900	7.017714499508095e-13	1.612903064302159e-13	R	GCN8619
21700	7.482656246887514e-13	1.5838657182245077e-13	R	GCN8619
23600	4.634888044188577e-13	1.3672894992437988e-13	R	GCN8619
14600	7.475360337244652e-13	1.7228377097835546e-13	R	GCN8619
18100	5.937460684530257e-13	1.0414897953727235e-13	R	GCN8619
19900	9.149529579440069e-13	1.2653620179143247e-13	R	GCN8619
21700	5.265846279230933e-13	1.16802560680187e-13	R	GCN8619
23600	3.572209952823942e-13	6.258672332868371e-14	R	GCN8619
22100	5.579300968553019e-13	5.654407408158798e-14	R	GCN8629
23100	5.782712983031516e-13	5.872433356992902e-14	R	GCN8629
24000	4.896417777089499e-13	4.9712193492665427e-14	R	GCN8629
25000	4.0827697191755176e-13	4.1281618190135346e-14	R	GCN8629
25900	4.3152405928652266e-13	4.7673977329655516e-14	R	GCN8629
22100	4.107554768642244e-13	2.2679326745806703e-14	R	GCN8629
21900	3.8447491317859863e-13	2.131661906781882e-14	R	GCN8629
24000	3.416473279131345e-13	1.8883215960401675e-14	R	GCN8629
25000	3.4748745317660686e-13	2.2387272732413754e-14	R	GCN8629
25900	3.1731347264866623e-13	2.0440553395043256e-14	R	GCN8629
22100	2.5335414963407784e-13	2.1019170822213868e-14	R	GCN8629
21900	2.5562978570863544e-13	1.8820412173444352e-14	R	GCN8629
24000	2.1618542708297063e-13	1.7983877180107842e-14	R	GCN8629
25000	2.0708288278474029e-13	1.9044992101202323e-14	R	GCN8629
25900	2.08599973501112e-13	1.9196737961623567e-14	R	GCN8629
6620	4.446144099669526e-12	8.250226511625096e-14	R	GCN8645
6800	2.9200626317361925e-12	5.3830185132538005e-14	R	GCN8645
6990	2.070828827847403e-12	3.8654475434301654e-14	R	GCN8645
11590	2.045471252465044e-12	9.44929252905251e-14	R	GCN8645
11790	1.2750940158581373e-12	3.523649940421249e-14	R	GCN8645
11990	8.799126154955997e-13	3.244825225136611e-14	R	GCN8645
41470	1.0220219211076672e-13	1.4113653327319152e-14	R	GCN8645
46370	1.0901567158481784e-13	1.4016320422708124e-14	R	GCN8645
