Time	Mag	MagErr	Band	GCN
1790	>16.0	?	P\	26536
1991	>16.7	?	P\	26536
2192	>16.6	?	P\	26536
2394	>17.0	?	P\	26536
38410	16.7	0.1	R	26551
35434.8	17.13	0.01	r	26553
142	>10.5	?	?	26555
13860	16.50	0.01	R	26560
13860	15.86	0.01	I	26560
68940	17.6	0.2	R	26561
60669	18.1	0.2	Clear	26565
60915	18.3	0.2	V	26565
61118	18.3	0.2	Clear	26565
61293	>17.9	?	V	26565
429.	12.3	0.02	u_swift	26574
569.5	13.54	0.04	b_swift	26574
620.	13.2	0.06	uvw2	26574
645.	13.42	0.05	v_swift	26574
669.	12.79	0.06	uvm2	26574
694.	12.82	0.05	uvw1	26574
37.886	10.3	0.2	Clear(similar_toGaiaGfilter)	arXiv2009.14081
67.885	10.	0.4	Clear(similar_toGaiaGfilter)	arXiv2009.14081
87.885	10.6	0.1	Clear(similar_toGaiaGfilter)	arXiv2009.14081
117.885	10.3	0.2	Clear(similar_toGaiaGfilter)	arXiv2009.14081
147.887	10.2	0.2	Clear(similar_toGaiaGfilter)	arXiv2009.14081
192.886	11.5	0.2	Clear(similar_toGaiaGfilter)	arXiv2009.14081
242.886	11.7	0.2	Clear(similar_toGaiaGfilter)	arXiv2009.14081
1798.113	14.7	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
1999.464	14.82	0.05	Clear(similar_toGaiaGfilter)	arXiv2009.14081
2200.491	14.96	0.04	Clear(similar_toGaiaGfilter)	arXiv2009.14081
2401.752	15.04	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
2602.75	15.18	0.02	Clear(similar_toGaiaGfilter)	arXiv2009.14081
2803.877	15.27	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
3005.248	15.31	0.04	Clear(similar_toGaiaGfilter)	arXiv2009.14081
3207.769	15.42	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
3408.877	15.48	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
3609.922	15.48	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
3811.038	15.54	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
4012.132	15.54	0.04	Clear(similar_toGaiaGfilter)	arXiv2009.14081
4213.369	15.6	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
4414.61	15.6	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
4617.299	15.67	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
4818.424	15.73	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
5019.806	15.83	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
5220.809	15.73	0.02	Clear(similar_toGaiaGfilter)	arXiv2009.14081
5422.215	15.82	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
5623.241	15.84	0.02	Clear(similar_toGaiaGfilter)	arXiv2009.14081
5824.315	15.86	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
6025.613	15.88	0.04	Clear(similar_toGaiaGfilter)	arXiv2009.14081
6226.953	15.94	0.02	Clear(similar_toGaiaGfilter)	arXiv2009.14081
6428.108	16.01	0.02	Clear(similar_toGaiaGfilter)	arXiv2009.14081
6630.034	16.01	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
6831.448	15.98	0.02	Clear(similar_toGaiaGfilter)	arXiv2009.14081
7032.811	16.06	0.03	Clear(similar_toGaiaGfilter)	arXiv2009.14081
