time_sec	flux_R	flux_err_R	band	source
11052	1.5794966340097766e-13	1.7237922056950401e-13	R	Li_Liang
11700	1.5924080506365594e-13	1.7399724587165493e-13	R	Li_Liang
12312	1.252407412797943e-13	1.3686623268370761e-13	R	Li_Liang
26964	4.777224151909678e-14	5.250451403761586e-14	R	Li_Liang
35496	3.4215254060974727e-14	3.7400709171883504e-14	R	Li_Liang
42084	2.7673469636738048e-14	3.02677020060341e-14	R	Li_Liang
88920	2.0400038270317006e-14	2.2431276806992674e-14	R	Li_Liang
93960	1.493420523164557e-14	1.631137400729803e-14	R	Li_Liang
100908	1.19645794074855e-14	1.3199139371751604e-14	R	Li_Liang
180720	6.929126923040164e-15	7.58803643733432e-15	R	Li_Liang
191808	7.962040253182797e-15	8.853398381948431e-15	R	Li_Liang
268200	3.004056268498158e-15	3.2899475792581365e-15	R	Li_Liang
359640	2.3886120759548392e-15	2.6130050495474214e-15	R	Li_Liang
459360	1.4503824677419474e-15	1.6047223728853985e-15	R	Li_Liang
