#T_mid(s)   Mag      Error	Filter     
280.5      21.08	0	 white
957.5      20.74    0.21	 white 	
1886       21.66    0.39	 white     	
6087       21.21	0	 white     
13140      22.39    0.33	 white     
97075      23.21    0.24	 white     
348928     24.03	0	 white     
1500       20.24	0	 v         
1512.5     20.97    0.36	 b         
2770       20.70	0	 b         
1563.5     20.87	0	 u         
1539.5     20.60	0	 uvw1      
1524       20.20	0	 uvm2      
1552       20.65	0	 uvw2      
