   2470.12  74373.12
   3653.80  75556.80
   4984.36  76887.36
  10755.88  82658.88
   2159.08  74062.08
   3420.52  75323.52
   4673.32  76576.32
   6012.52  77915.52
   7256.68  79159.68
  10418.92  82321.92
  10488.04  82391.04
  11075.56  82978.56
  11239.72  83142.72
  11369.32  83272.32
  12000.04  83903.04
   2617.00  74520.00
   3005.80  74908.80
   3671.08  75574.08
   4483.24  76386.24
   4751.08  76654.08
   5779.24  77682.24
   6047.08  77950.08
   9537.64  81440.64
  11075.56  82978.56
   1848.04  73751.04
   3109.48  75012.48
   4362.28  76265.28
   5701.48  77604.48
   6314.92  78217.92
   6945.64  78848.64
   7559.08  79462.08
  72696.04  58199.04
   2781.16  74684.16
   3308.20  75211.20
   4111.72  76014.72
   5070.76  76973.76
   5329.96  77232.96
   6427.24  78330.24
   6764.20  78667.20
   9909.16  81812.16
   1493.80  73396.80
   2798.44  74701.44
   4051.24  75954.24
   5347.24  77250.24
   6617.32  78520.32
   7861.48  79764.48
  10202.92  82105.92
  10323.88  82226.88
  11239.72  83142.72
  11654.44  83557.44
  12501.16  84404.16
  93699.88  79202.88
 117857.32  16960.32
 276643.24   2946.24
  10496.68  82399.68
  11084.20  82987.20
  11377.96  83280.96
  12000.04  83903.04
  16959.40   2462.40
  10505.32  82408.32
  11974.12  83877.12
