time,mag,err,band,sys,telescope,source,gal_ext_corr,time
GRB_TIME:    Oct 6 {12:18:08.63} UT,,,,,,,,
44288.63,,,,,,,,
Oct 6 15:49 e  180 s  ,18.7,0.09,R,,1.5m telescope of Mt.Maidanak High-altitude Observatory,gcn2775,no,12741.37
Oct 6 16:46 e  300 s  ,19.1,0.1,R,,1.5m telescope of Mt.Maidanak High-altitude Observatory,gcn2775,no,16221.37
Oct. 6.8393 900s      ,19.7,0.3,Rc,,,gcn2777,no,28226.89
Oct. 6.8506 900s      ,19.7,0.3,Rc,,,gcn2777,no,29203.21
Oct. 6.8637 900s      ,19.8,0.3,Rc,,,gcn2777,no,30335.05
Oct. 6.8751 900s      ,19.35,0.3,Ic,,,gcn2777,no,31320.01
Oct. 6.9627 4x900s     ,19.95,0.3,Rc,,,gcn2777,no,38888.65
Oct 6.52387 to 6.57424 ,17.1,0.4,R,,ROTSE-IIIa (Siding Spring Observatory, Australia,gcn2776,no,3149.72199999993
Oct 6.57263,18.1,0.4,R,,ROTSE-IIIa (Siding Spring Observatory, Australia, gcn2776,no,5186.60200000002
Oct. 7 UT 05:10:22,19.1,0,I,,Morris Offit 20in Telescope,gcn2778,no,60733.37
Oct 6 16:44 UT,19.2,0,R,,BAO 1.01-m reflector,gcn2779,no,15951.37
Oct 7.07 UT 0.557 days after ,20.76,0.04,R,,Italian 3.6m telescope TNG,gcn2782,no,49852.8
e 300s    19:57:08  ,20.1,0,B,,Lulin 1-m telescope,gcn2785,no ,27689.37
e 300s    20:02:54  ,19.9,0,R,,Lulin 1-m telescope,gcn2785,no,28035.37
Oct 6.92 UT  e = 600s,20.4,0.1,R ,,2.0m Liverpool Telescope,gcn2790,no,35499.37
Oct 6.98 UT  e = 600s,20.6,0.1,R,,2.0m Liverpool Telescope,gcn2790,no,40683.3700000001
Oct 6.776284 ,19.81,0.05,Rc,,ARIES NainiTal,gcn2794,no,22782.3076
Oct 6.830509 ,20,0.05,Rc,,ARIES NainiTal,gcn2794,no,27467.3476
Oct 6.862395 ,20.02,0.05,Rc,,ARIES NainiTal,gcn2794,no,30222.298
Oct 6.877175 ,20.18,0.06,Rc,,ARIES NainiTal,gcn2794,no,31499.29
Oct 6.81 ,19.35,0,R,,AT-64 telescope of Crimean Astrophysical Observatory,gcn2798,no,25695.37
Oct 7.85 ,20,0,R,,AT-64 telescope of Crimean Astrophysical Observatory,gcn2798,no,115551.37
Oct. 7.6216 to Oct 7.7065 e 25min,19.8,0,B,,SARA 0.9 m Telescope at KPNO,gcn2799,no,99485.29
Oct. 7.6216 to Oct 7.7065 e 25min,19.5,0,R,,SARA 0.9 m Telescope at KPNO,gcn2799,no,99485.29
Oct. 7.6216 to Oct 7.7065 e 70min,20.9,0.2,V,,SARA 0.9 m Telescope at KPNO,gcn2799,no,99485.29
10.8h,20.5,0,R,,2.56m Nordic Optical Telescope using the=20 MOSCA instrument ,gcn2802,no,38880
112.2h,23.6,0,R,,2.56m Nordic Optical Telescope using the=20 MOSCA instrument ,gcn2802,no,403920
Oct 11.121 UT,23.59,0.06,R,,FORS1,gcn2803,no,405855.37
Oct 10.05,22.64,0,R,,TUG 1.5-m Russian-Turkish Telescope (RTT150),gcn2821,no,305631.37
Oct 11.03,23.3,0,R,,TUG 1.5-m Russian-Turkish Telescope (RTT150),gcn2821,no,390303.37
Oct 14 between 21:32:32 UT (8.4 d after the burst) and 01:32:18,23.8,0.25,R,,ANDOR CCD(RTT150),gcn2821,no,731656.37
Oct. 18 19:50 UT and Oct. 19 00:37 UT,24,0.2,R,,ANDOR CCD(RTT150),gcn2826,no,1072736.37
Nov. 3.1 (UT) e 900,24.4,0.2,R,,VATT-6.5m Clay telescope of the Magellan Observatory,gcn2829,no,2383551.37
15.127,19.3,0,     Rc,,         0.9m SARA,gcn2830,no,96568.57
15.582,18.2,0,     B ,,         0.9m SARA,gcn2830,no,98206.57
16.25,19.3,0,     Rc,,         0.6m MO(2),gcn2830,no,100611.37
16.426,21.2,0.6,     V ,,    0.9m SARA,gcn2830,no,101244.97
18.408,21.75,0.08,     g',,  2.3m Bok,gcn2830,no,108380.17
21.30+0.47.5,22.17.5,,,,,,,
