t−t0(days) Filter mag Telescope
2.994 g 23.20±0.05 NOT 
17.014 i 22.26±0.09 GTC
18.435 g 24.49±0.03 Keck 
17.054 i 22.32±0.06 LT
20.024 g 24.48±0.09 NOT 
18.026 i 22.30±0.06 LT
22.812±2.467 g 24.62±0.25 P60 
18.972 i 22.24±0.05 GTC
47.007 g 25.02±0.19 NOT 
19.011 i 22.36±0.06 LT
55.487 g 25.43±0.09 Keck 
20.058 i 22.41±0.04 NOT
77.981 g 25.27±0.09 GTC 
20.331 i 22.33±0.12 P60
85.376 g 25.49±0.12 Keck 
21.297 i 22.58±0.24 P60
1.262 r 21.49±0.08 P60 
22.259 i 22.42±0.12 P60
2.250 r 22.20±0.10 P60 
23.261 i 22.29±0.18 P60
3.010 r 22.60±0.04 NOT 
24.246 i 22.43±0.10 P60
18.434 r 22.71±0.03 Keck 
25.256 i 22.32±0.16 P60
19.316 r 22.64±0.09 P60 
26.032 i 22.55±0.08 NOT
20.042 r 22.82±0.05 NOT 
26.927 i 22.44±0.11 GTC
22.220 r 22.74±0.19 P60 
29.061 i 22.57±0.06 LT
23.248 r 23.12±0.19 P60 
31.024 i 22.68±0.05 NOT
24.211 r 23.16±0.12 P60 
31.184 i 22.65±0.16 P60
25.227 r 23.23±0.17 P60 
32.180 i 22.52±0.21 P60
31.042 r 23.45±0.07 NOT 
34.184 i 22.53±0.15 P60
47.015 r 24.08±0.13 NOT 
40.007 i 22.99±0.16 LT
47.745±1.496 r 24.24±0.27 P60 
45.151 i 23.26±0.29 P60
55.487 r 24.05±0.08 Keck 
46.015 i 23.10±0.10 LT
65.657±5.428 r 24.23±0.35 P60 
47.025 i 23.34±0.08 NOT
77.990 r 24.05±0.07 GTC 
47.309 i 23.28±0.23 P60
85.386 r 24.28±0.08 Keck 
49.175 i 23.37±0.19 P60
120.764 r 24.22±0.11 GTC 
57.901 i 23.72±0.10 NOT
1.213 i 21.30±0.11 P60 
60.154 i 23.74±0.36 P60
2.317 i 22.04±0.12 P60 
78.000 i 23.70±0.07 GTC
3.031 i 22.41±0.06 NOT 
85.373 i 23.94±0.09 Keck
5.059 i 22.79±0.10 LT 
86.948 i 23.87±0.40 GTC
8.045 i 22.87±0.53 GTC 
113.844 i 24.23±0.20 NOT
9.058 i 22.66±0.11 GTC 
120.746 i 24.05±0.08 GTC
9.984 i 22.52±0.12 GTC 
3.061 z 22.32±0.10 NOT
10.053 i 22.57±0.11 LT 
21.004 z 22.63±0.10 NOT
11.045 i 22.50±0.08 LT 
47.049 z 22.90±0.12 NOT
12.032 i 22.45±0.08 LT 
78.013 z 23.68±0.10 GTC
13.053 i 22.41±0.07 LT 
2.408 K 19.56±0.12 Keck
15.048 i 22.36±0.06 LT 
9.440 K 21.01±0.15 Keck
