date	time	exp	mag	magerr	band	source
2014-08-02	09:43:00	1584	22.4	0.1	g	manual
2014-08-02	09:43:00	1584	21.9	0.1	r	manual
2014-08-02	09:43:00	1584	21.8	0.1	i	manual
2014-08-02	09:43:00	1584	21.2	0.2	z	manual
2014-08-01	19:01:31.89	20	14.64	0.07	V	manual
2014-08-01	21:16:04.50	20	20.3	0.05	V	manual
2014-08-01	21:18:16.82	20	20.34	0.05	V	manual
2014-08-01	21:21:10.34	20	20.3	0.05	V	manual
2014-08-01	21:27:16.21	30	20.39	0.04	V	manual
2014-08-01	21:30:44.84	30	20.37	0.04	V	manual
2014-08-01	21:56:27.22	20	20.04	0.04	Rc	manual
2014-08-01	21:57:56.49	20	30.03	0.04	Rc	manual
2014-08-01	22:53:25.75	20	20.27	0.04	Rc	manual
2014-08-01	22:56:11.20	20	20.28	0.04	Rc	manual
2014-08-01	23:50:27.04	20	20.42	0.05	Rc	manual
2014-08-01	23:52:03.02	20	20.38	0.05	Rc	manual
2014-08-01	23:54:26.23	20	20.38	0.05	Rc	manual
2014-08-01	23:56:38.44	20	20.4	0.05	Rc	manual
2014-08-02	00:18:51.70	30	20.43	0.05	Rc	manual
2014-08-02	00:21:03.02	60	21.06	0.03	V	manual
2014-08-03	00:05:30.90	900	22.05	0.03	Rc	manual
2014-08-02	01:07:22.96	200	20.49	0.19	I	manual
2014-08-02	01:11:31.48	200	20.7	0.06	R	manual
2014-08-02	01:15:37.08	200	21.15	0.06	V	manual
2014-08-03	04:59:18.39	300	22.28	0.08	R	manual
2014-08-26	03:27:54.59	1800	24.54	0.18	R	manual
2014-11-25	01:53:20.50	4800	24.66	0.21	R	manual
2014-08-02	03:32:16.68	20	21.32	0.07	r	manual
2014-08-02	04:54:46.23	20	21.39	0.07	r	manual
2014-08-02	09:44:09.88	1440	20.64	0.18	J	manual
2014-08-02	09:44:09.88	1440	20.46	0.36	K	manual
2014-08-02	09:44:10.69	1584	22.11	0.08	g	manual
2014-08-02	09:44:10.69	1584	21.62	0.06	r	manual
2014-08-02	09:44:10.69	1584	21.41	0.09	i	manual
2014-08-02	09:44:10.69	1584	21.26	0.12	z	manual
2014-08-03	09:02:13.31	3000	21.67	0.4	J	manual
2014-08-03	09:02:13.31	3000	21.33	0.41	K	manual
2014-08-03	09:02:13.36	2760	22.88	0.1	g	manual
2014-08-03	09:02:13.36	2760	22.6	0.07	r	manual
2014-08-03	09:02:13.36	2760	22.42	0.12	i	manual
2014-08-03	09:02:13.36	2760	22.42	0.2	z	manual
2014-08-11	01:17:15.98	3360	22.53	0.21	K	manual
