time_sec   	flux                   	flux_err               	band 	logF                	logT               	mag   	mag_err
52986.74   	2.2700036288397216e-14 	3.995597988767636e-15  	g    	-13.643973448540883 	4.724167200443495  	22.4  	0.1
52986.74   	3.000457708364417e-14  	2.7890601837623167e-15 	r    	-13.522812490262126 	4.724167200443495  	21.9  	0.1
52986.74   	2.853860813709873e-14  	3.778473370517507e-15  	i    	-13.544567211779112 	4.724167200443495  	21.8  	0.1
52986.74   	4.4000799562589934e-14 	1.1509727417492683e-14 	z    	-13.356539431639591 	4.724167200443495  	21.2  	0.2
98.63      	2.6540531575959262e-11 	2.852436823174792e-12  	V    	-10.576090382971438 	1.9940090331236133 	14.64 	0.07
8171.24    	1.4451389850957827e-13 	1.4096507923007632e-14 	V    	-12.840090382971438 	3.9122879664827734 	20.3  	0.05
8303.56    	1.3928668970058097e-13 	1.3586623467940067e-14 	V    	-12.856090382971436 	3.9192643281447004 	20.34 	0.05
8477.08    	1.4451389850957827e-13 	1.4096507923007632e-14 	V    	-12.840090382971438 	3.9282462817056882 	20.3  	0.05
8842.95    	1.330177559955227e-13  	1.2443680106429056e-14 	V    	-12.876090382971437 	3.9465971694247806 	20.39 	0.04
9051.58    	1.354907407153236e-13  	1.2675025392109001e-14 	V    	-12.868090382971436 	3.9567243941653505 	20.37 	0.04
10593.96   	1.3675559411160242e-13 	5.276024358199489e-15  	Rc   	-12.864054899421522 	4.025058328821207  	20.04 	0.04
10683.23   	1.3802097804426622e-17 	5.324842810523715e-19  	Rc   	-16.860054899421524 	4.028702578450603  	30.03 	0.04
14012.49   	1.106483903854007e-13  	4.268809672184457e-15  	Rc   	-12.956054899421522 	4.146515315669301  	20.27 	0.04
14177.94   	1.096339598448209e-13  	4.229672989867588e-15  	Rc   	-12.960054899421522 	4.151613134117575  	20.28 	0.04
17433.78   	9.637071931293036e-14  	4.573180140971032e-15  	Rc   	-13.016054899421523 	4.241391561244182  	20.42 	0.05
17529.76   	9.998735973998741e-14  	4.744804346912091e-15  	Rc   	-13.00005489942152  	4.243775970207362  	20.38 	0.05
17672.97   	9.998735973998741e-14  	4.744804346912091e-15  	Rc   	-13.00005489942152  	4.24730954023812   	20.38 	0.05
17805.18   	9.816238475273164e-14  	4.658201907613216e-15  	Rc   	-13.008054899421522 	4.250546368496742  	20.4  	0.05
19138.44   	9.548718724754589e-14  	4.531252973423314e-15  	Rc   	-13.020054899421522 	4.281906534955821  	20.43 	0.05
19269.76   	7.176449234270999e-14  	6.481730530286135e-15  	V    	-13.144090382971436 	4.284876305660916  	21.06 	0.03
104737.64  	2.147558982773969e-14  	6.423320431552188e-16  	Rc   	-13.668054899421522 	5.020102783938921  	22.05 	0.03
22049.7    	6.172458804208291e-14  	1.2963008079590894e-14 	I    	-13.209541799924134 	4.3434026849952    	20.49 	0.19
22298.22   	7.520581713542771e-14  	4.156027042619328e-15  	R    	-13.123748565630322 	4.348270196006373  	20.7  	0.06
22543.82   	6.605559624393121e-14  	6.751911368668636e-15  	V    	-13.180090382971436 	4.353027508176618  	21.15 	0.06
122365.13  	1.7548962032509396e-14 	1.2930553079543878e-15 	R    	-13.755748565630325 	5.087657675929427  	22.28 	0.08
2104081.33 	2.1890285931427645e-15 	3.629105716829945e-16  	R    	-14.659748565630322 	6.323062522785675  	24.54 	0.18
9960807.24 	1.9599790730806203e-15 	3.790935620854807e-16  	R    	-14.707748565630324 	6.998294535780266  	24.66 	0.21
30743.42   	5.1190280551891943e-14 	3.3623047025958377e-15 	r    	-13.290812490262127 	4.487752178209624  	21.32 	0.07
35692.97   	4.799406216933062e-14  	3.1523691448620757e-15 	r    	-13.318812490262127 	4.552582686956657  	21.39 	0.07
53056.62   	2.626850215710145e-14  	9.962354152974755e-15  	J    	-13.580564690192663 	4.724739579568191  	20.64 	0.18
53056.62   	8.291486303398914e-15  	6.058834701172858e-15  	K    	-14.081367612331915 	4.724739579568191  	20.46 	0.36
53057.43   	2.9650126559440793e-14 	4.955047980695041e-15  	g    	-13.527973448540884 	4.724746209765236  	22.11 	0.08
53057.43   	3.883179888611785e-14  	2.2005654225234625e-15 	r    	-13.410812490262126 	4.724746209765236  	21.62 	0.06
53057.43   	4.087264923606234e-14  	5.156701021420714e-15  	i    	-13.388567211779112 	4.724746209765236  	21.41 	0.09
53057.43   	4.1635191675930236e-14 	8.998163597946482e-15  	z    	-13.380539431639592 	4.724746209765236  	21.26 	0.12
136940.05  	1.0172678280977509e-14 	5.107402084704938e-15  	J    	-13.992564690192664 	5.136530482102354  	21.67 	0.4
136940.05  	3.720766254343979e-15  	2.8007892974325213e-15 	K    	-14.429367612331914 	5.136530482102354  	21.33 	0.41
136940.1   	1.458903450520351e-14  	2.5679217507175453e-15 	g    	-13.835973448540884 	5.13653064067335   	22.88 	0.1
136940.1   	1.5746625895135787e-14 	1.034277478584275e-15  	r    	-13.802812490262127 	5.13653064067335   	22.6  	0.07
136940.1   	1.612251494632634e-14  	2.3509004391034134e-15 	i    	-13.792567211779112 	5.13653064067335   	22.42 	0.12
136940.1   	1.430410101260058e-14  	3.741666179795735e-15  	z    	-13.84453943163959  	5.13653064067335   	22.42 	0.2
800242.72  	1.2320615025755006e-15 	8.369278913485599e-16  	K    	-14.909367612331915 	5.903221731953053  	22.53 	0.21
