Time	Mag	MagErr	Band	GCN
48669.1	19.94	0.07	R	19561
49870.1	19.94	0.07	R	19561
51072.8	20.32	0.13	R	19561
107622	21.12	0.05	r	19567
107622	19.77	0.02	i	19567
107622	18.73	0.02	Z	19567
107622	18.41	0.02	Y	19567
107622	17.46	0.01	J	19567
107622	16.93	0.01	H	19567
46154.5	>21.1	?	v	19568
45753.5	>21.5	?	u	19568
37142.5	>20.4	?	g'	19572
37142.5	18.63	0.06	Rc	19572
37142.5	17.19	0.06	Ic	19572
39678.3	>20.4	?	g'	19572
39678.3	18.86	0.09	Rc	19572
39678.3	17.63	0.11	Ic	19572
140104	20.57	0.10	R	19574
404006	21.7	0.2	R	19614
