READ TERR 1 2
!Time	Poserr	Negerr	Flux	PosErr	NegErr
!BAT data
0.401000006198883	0.4	-0.4	2.07902671669347e-08	4.76462227014162e-09	-4.76462227014162e-09
0.881000008881092	0.08	-0.08	4.72983568322112e-08	1.03402334040745e-08	-1.03402334040745e-08
1.0610000026226	0.1	-0.1	3.86499515572719e-08	9.07618565853309e-09	-9.07618565853309e-09
1.36100000560284	0.2	-0.2	2.40713208916733e-08	6.07212172567192e-09	-6.07212172567192e-09
1.76100000858307	0.2	-0.2	2.39335550843273e-08	5.527221847743e-09	-5.527221847743e-09
2.40100000538609	0.44	-0.44	1.00730515713476e-08	3.31466555607064e-09	-3.31466555607064e-09
2.96100000957648	0.12	-0.12	2.50379427648971e-08	5.64751210830963e-09	-5.64751210830963e-09
3.56100000609954	0.48	-0.48	1.0656768500436e-08	2.54420059230528e-09	-2.54420059230528e-09
4.28100000490745	0.24	-0.24	1.28716671952264e-08	3.07532664034357e-09	-3.07532664034357e-09
4.80100000747612	0.28	-0.28	5.77182742699001e-09	2.58199331346729e-09	-2.58199331346729e-09
5.36100000560283	0.28	-0.28	9.82270033309668e-09	2.25539134070335e-09	-2.25539134070335e-09
5.92100000585828	0.28	-0.28	9.85810449134215e-09	2.25847097255071e-09	-2.25847097255071e-09
6.32100000401338	0.12	-0.12	1.45520795009875e-08	3.4177881627338e-09	-3.4177881627338e-09
6.84100000679493	0.4	-0.4	8.4226768019877e-09	1.86825789151431e-09	-1.86825789151431e-09
7.44100000679493	0.2	-0.2	1.08381071054533e-08	2.67882785526824e-09	-2.67882785526824e-09
9.88100000622016	2.24	-2.24	4.66239150327678e-09	7.76393483884062e-10	-7.76393483884062e-10
12.6810000059009	0.56	-0.56	6.43977119855254e-09	1.55151583616753e-09	-1.55151583616753e-09
14.9210000062131	1.68	-1.68	2.10758754700857e-09	8.85793868344249e-10	-8.85793868344249e-10
17.1610000058157	0.56	-0.56	6.68827942580761e-09	1.55644194219147e-09	-1.55644194219147e-09
20.201000006295	2.48	-2.48	2.36312261249482e-09	7.17365193157185e-10	-7.17365193157185e-10
23.9210000060643	1.24	-1.24	5.42328547553668e-09	1.34997704337864e-09	-1.34997704337864e-09
30.7010000062206	5.53999999999997	-5.53999999999997	4.98111752354974e-09	1.14107611600783e-09	-1.14107611600783e-09
!#58.4210000061989	22.1799999999996	-22.1799999999996	1.21857914712053e-08	5.49850069279964e-09	-5.49850069279964e-09
80.781000007391	0.18	-0.18	8.86800886643946e-08	2.09378091245705e-08	-2.09378091245705e-08
!81.3610000056028	0.4	-0.4	2.69405008525589e-08	1.36624250341792e-08	-1.36624250341792e-08
81.9610000056028	0.2	-0.2	8.07611984561606e-08	1.87186726774151e-08	-1.87186726774151e-08
82.8210000062711	0.66	-0.66	4.66115132279502e-08	9.9165022571972e-09	-9.9165022571972e-09
84.1410000063434	0.66	-0.66	3.21761799839141e-08	9.24043896700291e-09	-9.24043896700291e-09
84.8209999990463	0.02	-0.02	2.07753601990403e-07	5.15488551196819e-08	-5.15488551196819e-08
85.4410000067949	0.6	-0.6	3.15749754673035e-08	7.26945762822798e-09	-7.26945762822798e-09
86.1010000002384	0.06	-0.06	6.35791935420576e-08	1.5582431566602e-08	-1.5582431566602e-08
87.2610000064157	1.1	-1.1	1.06813011430033e-08	1.84040859456438e-09	-1.84040859456438e-09
88.4610000026226	0.1	-0.1	1.19039894175267e-08	2.97273178199011e-09	-2.97273178199011e-09
88.8010000081857	0.24	-0.24	6.78803679629744e-09	1.61941501726515e-09	-1.61941501726515e-09
89.3010000043649	0.26	-0.26	2.70292404854816e-09	1.15451091560419e-09	-1.15451091560419e-09
89.6610000085831	0.1	-0.1	6.46199565382902e-09	1.5365576401634e-09	-1.5365576401634e-09
90.0610000065962	0.3	-0.3	2.05353568046449e-09	6.905149157855e-10	-6.905149157855e-10
90.6610000065962	0.3	-0.3	2.28254214640068e-09	4.81703211425116e-10	-4.81703211425116e-10
91.0610000026226	0.1	-0.1	3.51204128156671e-09	8.1076942634534e-10	-8.1076942634534e-10
91.4210000068408	0.26	-0.26	1.3041311358394e-09	5.72931503878191e-10	-5.72931503878191e-10
91.9610000060286	0.28	-0.28	2.94584956972762e-09	6.55452512514682e-10	-6.55452512514682e-10
92.3210000064969	0.08	-0.08	5.93573820009819e-09	1.39614035449284e-09	-1.39614035449284e-09
92.5610000048578	0.16	-0.16	5.79992405722944e-09	1.04597245252629e-09	-1.04597245252629e-09
92.8010000106692	0.08	-0.08	6.70010563461184e-09	1.63528132577915e-09	-1.63528132577915e-09
93.1210000060002	0.24	-0.24	5.34121905104674e-09	1.04863383402991e-09	-1.04863383402991e-09
93.4610000026226	0.1	-0.1	1.09922974032893e-08	1.83327207484707e-09	-1.83327207484707e-09
93.6010000151396	0.04	-0.04	1.45536673116195e-08	3.04397350767385e-09	-3.04397350767385e-09
93.7210000050068	0.08	-0.08	9.24585853822877e-09	2.24055390505458e-09	-2.24055390505458e-09
93.8209999990463	0.02	-0.02	2.02796237028568e-08	4.69879734539466e-09	-4.69879734539466e-09
94.0010000061989	0.16	-0.16	8.36243748597861e-09	1.69276496855373e-09	-1.69276496855373e-09
94.241000008285	0.08	-0.08	1.07035741598267e-08	2.5817294579535e-09	-2.5817294579535e-09
94.5010000061989	0.18	-0.18	8.46446742868118e-09	2.02246446875112e-09	-2.02246446875112e-09
94.781000007391	0.1	-0.1	1.94439941188142e-08	3.46701584099721e-09	-3.46701584099721e-09
94.921000007987	0.04	-0.04	2.64437148057052e-08	5.91664369523332e-09	-5.91664369523332e-09
95.0210000069936	0.06	-0.06	2.21404639601341e-08	5.46475125891608e-09	-5.46475125891608e-09
95.1410000018279	0.06	-0.06	1.73668079510005e-08	5.98706594199458e-09	-5.98706594199458e-09
95.3010000061989	0.1	-0.1	2.57007547738397e-08	5.1354722151852e-09	-5.1354722151852e-09
95.4209999930859	0.02	-0.02	5.3476636213684e-08	1.29232021392044e-08	-1.29232021392044e-08
95.5210000094771	0.08	-0.08	2.50170415950679e-08	7.19161464594609e-09	-7.19161464594609e-09
95.6410000067949	0.04	-0.04	4.29584698659963e-08	9.81830568852564e-09	-9.81830568852564e-09
95.7610000041127	0.08	-0.08	2.30317932314981e-08	4.94084131855985e-09	-4.94084131855985e-09
95.8810000163317	0.04	-0.04	2.7583421096551e-08	4.99616838709893e-09	-4.99616838709893e-09
96.0410000028213	0.12	-0.12	5.15617656505191e-09	1.82534448719564e-09	-1.82534448719564e-09
96.2010000091791	0.04	-0.04	8.62833403994211e-09	2.03323490003522e-09	-2.03323490003522e-09
