#Time (days) 		mag		err	band
0.37  			18.24		0.01	r	
0.39  			18.29		0.01	r 
0.41  			18.35		0.01 	r
0.43  			18.43		0.01 	r
0.45  			18.46		0.01 	r
0.48  			18.52		0.01 	r
0.50  			18.55		0.01 	r
1.47  			19.70		0.01 	r
2.39  			20.26		0.03 	r
3.41  			20.58		0.01 	r
4.39  			20.87		0.01 	r
5.38  			21.11		0.02 	r
6.39  			21.27		0.02 	r
7.38  			21.38		0.02 	r
8.37  			21.52		0.04 	r
9.37  			21.54		0.02 	r
10.36	  		21.61		0.03 	r
11.35  			21.71		0.02 	r
12.35  			21.78		0.03 	r
13.36  			21.93		0.03 	r
14.41  			22.01		0.03 	r
15.36  			22.24		0.05 	r
16.34  			22.33		0.05 	r
19.32  			22.58		0.07 	r
20.32  			22.82		0.11 	r
21.39  			22.61		0.13 	r
22.32  			22.81		0.12 	r
23.38  			22.84		0.11 	r
24.38  			22.90		0.16 	r
25.39  			22.85		0.13 	r
26.37  			23.03		0.11 	r
39.39  			24.10		0.23 	r
40.39  			23.71		0.17 	r
41.39  			23.98		0.22 	r
41.89  			nan 		nan	r
43.31  			24.33 		nan	r
44.36  			24.01		0.22 	r
52.92  			23.54 		nan	r
53.92  			nan 		nan	r
