#t(s) exp(s) m emag
37.006	0.000	15.04573	0.000
68.501	0.000	13.76728	0.000
95.929	0.000	13.54959	0.000
130.144	0.000	13.58738	0.000
177.784	0.000	13.73997	0.000
232.862	0.000	13.89884	0.000
299.123	0.000	14.14059	0.000
375.752	0.000	14.27355	0.000
535 540 14.42 0.02
1541 540 15.35 0.03
13175 840 18.3 0.1
