time_sec	flux_R	flux_err_R	band	source
51.34893	6.06238278816909e-12	5.120972509959719e-13	R	Li_Liang
82.13182	2.968160949217002e-11	3.368315345245977e-12	R	Li_Liang
118.4992	3.5182448316973736e-11	2.9715138551430834e-12	R	Li_Liang
165.19391	3.0713016771820716e-11	2.5925027835864184e-12	R	Li_Liang
222.50884	2.601438360896755e-11	2.9463992130127e-12	R	Li_Liang
289.58438	2.1888754490364767e-11	2.4867002798900402e-12	R	Li_Liang
364.14775	1.6731718092111288e-11	1.4156669868799537e-12	R	Li_Liang
452.69426	1.36374962531592e-11	1.1529546964946052e-12	R	Li_Liang
556.3617	1.0783936112792275e-11	9.094527295219609e-13	R	Li_Liang
691.64715	8.22833807543555e-12	6.943338376847699e-13	R	Li_Liang
850.03504	6.7156073986145294e-12	7.607368811654525e-13	R	Li_Liang
1032.79456	5.294557368873572e-12	6.000996484991694e-13	R	Li_Liang
1240.55474	4.320450493647915e-12	4.901696581284719e-13	R	Li_Liang
1439.76811	3.781826692052551e-12	3.187844021153724e-13	R	Li_Liang
1633.12309	3.185902486032149e-12	3.6103300225371113e-13	R	Li_Liang
1831.34498	2.8764803021369404e-12	3.260116837826059e-13	R	Li_Liang
2030.23487	2.4295371476216386e-12	3.5123795504762655e-13	R	Li_Liang
2410.86642	2.4295371476216386e-12	2.7530448124586153e-13	R	Li_Liang
2612.15545	1.9252935886812986e-12	3.3937289997234494e-13	R	Li_Liang
2830.25058	1.7992326989462136e-12	3.171386950215535e-13	R	Li_Liang
2997.09501	1.7304722136361674e-12	2.5068235721178133e-13	R	Li_Liang
3210.34168	1.6731718092111287e-12	3.512093748862849e-13	R	Li_Liang
3399.59263	1.7992326989462136e-12	3.756903367373203e-13	R	Li_Liang
3600	1.7992326989462136e-12	4.3452505053454547e-13	R	Li_Liang
3856.14403	1.5127306768210205e-12	3.1748535337251384e-13	R	Li_Liang
4083.4653	1.045159376712705e-12	2.1865542932213316e-13	R	Li_Liang
4324.18724	1.0806856274562288e-12	2.6185453014002033e-13	R	Li_Liang
4526.94261	9.122224384466154e-13	2.508062933532093e-13	R	Li_Liang
4961.41989	9.763988914026587e-13	2.0468623942961921e-13	R	Li_Liang
5375.66076	7.97621629596538e-13	2.7309197746759955e-13	R	Li_Liang
5824.4876	8.824262281455953e-13	2.427140550673e-13	R	Li_Liang
6028.13678	8.239798156320558e-13	2.2653488788552098e-13	R	Li_Liang
6238.90641	7.701174354725194e-13	2.6387152449075905e-13	R	Li_Liang
6457.04546	6.956269097199693e-13	1.91850846437502e-13	R	Li_Liang
6682.81159	6.727067479499538e-13	2.304559079226248e-13	R	Li_Liang
6916.47148	6.291584405869244e-13	2.1547693459930285e-13	R	Li_Liang
7324.20029	6.291584405869244e-13	2.1547693459930285e-13	R	Li_Liang
7755.96488	6.291584405869244e-13	1.938346405557317e-13	R	Li_Liang
8598.28732	5.134116236483463e-13	1.5806897340353982e-13	R	Li_Liang
8797.55929	6.085302949939104e-13	2.0742185342971086e-13	R	Li_Liang
9210.0651	4.641332758428131e-13	1.2714479867309672e-13	R	Li_Liang
9641.91275	3.655765802317466e-13	1.9868834690336107e-13	R	Li_Liang
10567.30378	2.4409972285066466e-13	1.5724467823013425e-13	R	Li_Liang
10936.78225	1.9252935886812986e-13	1.4341575044460751e-13	R	Li_Liang
