212,19.8,0,white_swift,,6169,Swift/UVOT,
1586.91,20.3,0,Rc,,6171,TRISPEC + KANATA  1.5-m telescope at Higashi-Hiroshima Observatory,
1582.59,17.3,0,J,,6171,TRISPEC + KANATA  1.5-m telescope at Higashi-Hiroshima Observatory,
1569.63,15.1,0,Ks,,6171,TRISPEC + KANATA  1.5-m telescope at Higashi-Hiroshima Observatory,
11772,17.9,0.1,K,,6174,4.2m WHT + LIRIS,
870,17.3,0,Ic,,6175,ART-3a + ART-3b,
1630,13.3,0,J,,6175,ART-3a + ART-3b,
212,19.8,0,white_find_swift,,6177,Swift/UVOT,no
5712.5,20.5,0,v_swift,,6177,Swift/UVOT,no
3501,21.5,0,b_swift,,6177,Swift/UVOT,no
3387,21,0,u_swift,,6177,Swift/UVOT,no
3272.5,19,0,uvw1_swift,,6177,Swift/UVOT,no
3153,18.7,0,uvm2_swift,,6177,Swift/UVOT,no
3712,19.5,0,uvw2_swift,,6177,Swift/UVOT,no
3312,20.7,0,white_swift,,6177,Swift/UVOT,no
22337.6,22.65,0.4,i,AB,6178,NOT + StanCam,no
143,15.8,0,unfiltered,,6184,unfiltered CCD + 30-cm telescope at University of Miyazaki,no
664,17,0,unfiltered,,6184,unfiltered CCD + 30-cm telescope at University of Miyazaki,no
21992,22,0,I,Vega,arXiv0803.4017,WHT/LIRIS,no
17102.4,22.4,0,J,Vega,arXiv0803.4017,WHT/LIRIS,no
117764.8,22,0,J,Vega,arXiv0803.4017,VLT/ISAAC,no
220476.8,20.9,0.13,J,Vega,arXiv0803.4017,VLT/ISAAC,no
15288,19.78,0.12,H,Vega,arXiv0803.4017,WHT/LIRIS,no
120326.4,20.52,0.21,H,Vega,arXiv0803.4017,VLT/ISAAC,no
217536,20,0.2,H,Vega,arXiv0803.4017,VLT/ISAAC,no
13191.6,18.28,0.15,K,Vega,arXiv0803.4017,WHT/LIRIS,no
29889.6,17.61,0.14,K,Vega,arXiv0803.4017,WHT/LIRIS,no
119203.2,18.53,0.15,K,Vega,arXiv0803.4017,VLT/ISAAC,no
131212.8,18.5,0.15,K,Vega,arXiv0803.4017,VLT/ISAAC,no
215712,19.83,0.19,K,Vega,arXiv0803.4017,VLT/ISAAC,no
28472006.4,19.6,0.19,K,Vega,arXiv0803.4017,VLT/ISAAC,no
465249.6,22.15,0.19,I,Vega,arXiv0803.4017,NOT/ALFOSC,no
121624.8,23.5,0,R,Vega,arXiv0803.4017,VLT/FORS2,no
3833139.6,23.5,0,R,Vega,arXiv0803.4017,VLT/FORS2,no
5296868.4,22.78,0.23,R,Vega,arXiv0803.4017,VLT/FORS2,no
125100,23.1,0,R,,arXiv0907.3449,FORS2,yes
