Time	Mag	MagErr	Band		GCN
161222.40000000002	20.5	0.03	B	astro-ph/9712100
175046.40000000002	20.6	0.03	B	astro-ph/9712100
246758.40000000002	21.03	0.04	B	astro-ph/9712100
342662.4	21.48	0.06	B		astro-ph/9712100
429926.4	21.92	0.07	B		astro-ph/9712100
161222.40000000002	20.06	0.03	V	astro-ph/9712100
175046.40000000002	20.22	0.03	V	astro-ph/9712100
246758.40000000002	20.52	0.03	V	astro-ph/9712100
342662.4	21.1	0.04	V		astro-ph/9712100
429926.4	21.47	0.05	V		astro-ph/9712100
161222.40000000002	19.7	0.03	Rc	astro-ph/9712100
175046.40000000002	19.8	0.03	Rc	astro-ph/9712100
246758.40000000002	20.1	0.03	Rc	astro-ph/9712100
342662.4	20.63	0.05	Rc		astro-ph/9712100
429926.4	21.09	0.07	Rc		astro-ph/9712100
1.1314944e6	22.2	0.15	Rc		astro-ph/9712100
2.7385344e6	23.28	0.1	Rc		astro-ph/9712100
161222.40000000002	19.19	0.04	Ic	astro-ph/9712100
175046.40000000002	19.3	0.03	Ic	astro-ph/9712100
246758.40000000002	19.58	0.04	Ic	astro-ph/9712100
342662.4	20.19	0.06	Ic		astro-ph/9712100
429926.4	20.58	0.09	Ic		astro-ph/9712100
