Time		Mag		MagErr		Band		GCN
1128		20.4		0.1		R		18540
729.5		20.63		0.16		white		18546
4426.		>20.1		?		v		18546
4168.5		>20.2		?		b		18546
4053.5		20.34		0.28		u		18546
4661.		>20.0		?		w1		18546
4541.		>20.0		?		m2		18546
4399.5		>21.0		?		w2		18546
42869.1    	>18.6  		?		g'		18547
42869.1    	>18.9  		?		Rc		18547
42869.1    	>18.5		?		Ic		18547
89856		22.1		0.1		g'		18550
89856		21.9 		0.1		r'		18550
89856		21.7		0.1		i'		18550
89856		21.5		0.1		z'		18550
89856		21.6		0.3		J		18550
89856		20.7		0.3		H		18550
89856		>19.8		?		K		18550
37669      	>18.8  		?		g'		18551
37669      	>18.9  		?		Rc		18551
37669      	>18.3		?		Ic		18551
