Time	Mag	MagErr	Band	GCN
24397.2	>18.5	?	V	15468
29268	>18.9	?	r	15470
22700	17.8	0.2	R	15473
52506	19.91	0.02	r	15475
52506	19.70	0.02	i	15475
52506	19.57	0.04	Z	15475
52506	19.23	0.05	Y	15475
52506	19.34	0.07	J	15475
52506	19.09	0.08	H	15475
27896	19.70	0.10	white	15476
26983	19.67	0.16	b	15476
26070	19.10	0.14	u	15476
32149	20.96	0.33	w1	15476
37689.5	>20.6	?	m2	15476
47620	>21.4	?	w2	15476
225072	22.4	0.12	r	15482
225072	22.03	0.11	i	15482
225072	21.95	0.22	Z	15482
225072	21.6	0.3	Y	15482
225072	>21.5	?	J	15482
225072	>21.0	?	H	15482
107620	20.92	0.12	R	15484
191470	21.20	0.11	None	15484
73502.2	>17.1	?	None	15485		
