time_sec	flux	flux_err	band
265.0	9.021113093249642e-13	1.3332675849216155e-13	U
276.0	1.6838963189488336e-12	1.5334750405154487e-13	u
458.0	1.0350367491240069e-11	9.654744784377104e-13	v
2094.0	5.202971348755482e-12	1.4376341120303393e-12	R
2468.0	1.3411740126196487e-12	1.4638441079949374e-13	J
3153.0	1.2481058948109907e-12	1.0345932100331213e-13	R
3870.0	2.271179368423741e-12	6.275500508697764e-13	R
4332.0	6.610760665870676e-13	1.9483953872109064e-13	R
6480.0	7.6726204303182e-13	3.214029522268988e-14	I
8745.0	4.171107994731883e-13	3.457559192377651e-14	R
14760.0	4.780629969200973e-13	4.4996519643404136e-14	J
60769.0	1.0740061630894265e-13	9.894215910309248e-15	Rc
90053.0	2.7305581792926965e-14	4.023899237883088e-15	R
