854496	20.7	0.2	J	13279
743040	21.3	0.15	i	13275
5762	19.4	0	v_swift	13248
5865	20.7	0	b_swift	13248
387	19.89	0.32	u_swift	13248
5660	20	0.31	u_swift	13248
8722	19.84	0.18	uvw1_swift	13248
5967	19.21	0.28	uvm2_swift	13248
11695	19.36	0.14	uvm2_swift	13248
6244.5	18.98	0.16	uvw2_swift	13248
43986.2	20.5	0.3	R	13273
128658	20.74	0.03	R	13273
15120	21.1	0.2	CR	13250
1.68E+06	19.07	0.26	R	13288
62340	21.68	0.05	g	13256
62340	21.59	0.05	r	13256
62340	21.3	0.1	i	13256
1.01E+06	21.1	0	U	arXiv1401.3774
1.26E+06	21.25	0.05	r'	arXiv1401.3774
1.18E+06	21	0	U	arXiv1401.3774
1.78E+06	21.45	0.07	r'	arXiv1401.3774
405824.05	23.46	0.1	B	arXiv1401.3774
2.64E+06	21.78	0.14	r'	arXiv1401.3774
5.77E+08	23.07	0.08	B	arXiv1401.3774
3.08E+06	21.85	0.15	r'	arXiv1401.3774
1.01E+06	22.3	0	B	arXiv1401.3774
407118.3	21.79	0.02	R	arXiv1401.3774
1.18E+06	22.8	0.2	B	arXiv1401.3774
752459.1	21.36	0.04	R	arXiv1401.3774
2.22E+06	23.56	0.06	B	arXiv1401.3774
1.01E+06	21.23	0.08	R	arXiv1401.3774
2.39E+06	23.51	0.06	B	arXiv1401.3774
1.18E+06	21.14	0.08	R	arXiv1401.3774
2.65E+06	23.73	0.09	B	arXiv1401.3774
2.22E+06	21.3	0.03	R	arXiv1401.3774
394677.7	22.82	0.11	g'	arXiv1401.3774
2.39E+06	21.32	0.05	R	arXiv1401.3774
569637.7	22.69	0.11	g'	arXiv1401.3774
2.65E+06	21.46	0.04	R	arXiv1401.3774
831866.7	22.43	0.09	g'	arXiv1401.3774
566613.7	21.8	0.12	i'	arXiv1401.3774
1.00E+06	22.37	0.07	g'	arXiv1401.3774
827805.9	21.54	0.05	i'	arXiv1401.3774
1.26E+06	22.4	0.06	g'	arXiv1401.3774
1.09E+06	21.4	0.04	i'	arXiv1401.3774
1.78E+06	22.6	0.15	g'	arXiv1401.3774
1.26E+06	21.39	0.05	i'	arXiv1401.3774
2.65E+06	23.11	0.18	g'	arXiv1401.3774
1.78E+06	21.26	0.06	i'	arXiv1401.3774
406686.3	21.89	0.03	V	arXiv1401.3774
2.64E+06	21.51	0.14	i'	arXiv1401.3774
1.01E+06	21.34	0.08	V	arXiv1401.3774
3.07E+06	21.65	0.15	i'	arXiv1401.3774
1.18E+06	21.29	0.08	V	arXiv1401.3774
406686.3	21.62	0.06	I	arXiv1401.3774
2.22E+06	21.67	0.03	V	arXiv1401.3774
753063.9	21.21	0.08	I	arXiv1401.3774
2.39E+06	21.62	0.06	V	arXiv1401.3774
1.01E+06	20.93	0.06	I	arXiv1401.3774
2.65E+06	21.86	0.07	V	arXiv1401.3774
1.18E+06	20.84	0.08	I	arXiv1401.3774
395714.5	21.85	0.1	r'	arXiv1401.3774
2.22E+06	20.9	0.05	I	arXiv1401.3774
568687.3	21.64	0.08	r'	arXiv1401.3774
2.39E+06	20.85	0.07	I	arXiv1401.3774
829965.9	21.48	0.04	r'	arXiv1401.3774
2.65E+06	20.93	0.05	I	arXiv1401.3774
1.09E+06	21.39	0.04	r'	arXiv1401.3774
1.27E+06	21.64	0.08	z'	arXiv1401.3774
