16861	2.68E-14	4.44E-15	R	manual
151533	7.03E-15	1.68E-15	r	manual
33165	1.90E-14	1.05E-15	r	manual
276	6.37E-13	1.08E-13	u	manual
65997	1.28E-14	1.18E-15	r	manual
66139.95	1.41E-14	1.26E-15	r	nissim
66140	1.59E-14	1.15E-15	i	nissim
66133.55	8.71E-15	1.68E-15	Z	nissim
66023.2	7.69E-15	1.63E-15	Y	nissim
66133.55	7.30E-15	1.60E-15	J	nissim
66133.55	3.34E-15	1.10E-15	H	nissim
