time_sec	mag	mag_err	band	source
389.0	16.81206536987424	0.04	u	manual
25141.0	19.053413490742447	0.05	R	manual
26079.0	18.91341349074245	0.07	R	manual
27925.0	18.93341349074245	0.07	R	manual
39456.0	19.333413490742448	0.08	R	manual
41799.0	19.613413490742445	0.09	R	manual
45570.0	19.473413490742445	0.1	R	manual
34524.0	18.973413490742445	0.05	R	manual
34880.0	19.09341349074245	0.06	R	manual
35236.0	19.07341349074245	0.06	R	manual
37368.0	19.213413490742447	0.06	R	manual
45072.0	19.023413490742445	0.1	R	manual
19440.0	18.803413490742447	0.1	R	manual
20556.0	18.963413490742447	0.1	R	manual
37151.0	19.19595813134313	0.08	Rc	manual
37151.0	18.596046496987345	0.1	Ic	manual
