Time     	Mag    MagErr    Band       GCN
150         15.80          0.14              white_swift       12215
1680        >16.4             ?               R          12216
37242       22.2            0.3               R          12220
148.5       15.85           0.02             wh(fc)_swift       12222
576.5       17.64           0.11             wh_swift          12222
799.5       16.90           0.23             v_swift           12222
551.5       17.87           0.23             b_swift           12222
410         17.71           0.08             u(fc)_swift        12222
1127.5      18.37           0.44             u_swift           12222
4.86        14.75           0.20             I           12242
105.31      20.20           2.70             I           12242

       
