Time(s),Mag,MagErr,Filter,System,Observatory/Telescope,GalExtCorr,Source
47.2,15.8,0,unfiltered,Vega,ROTSE-IIIc-HESS-Namibia,no,6495
83.7,17,0,unfiltered,Vega,ROTSE-IIIc-HESS-Namibia,no,6495
768.95,18.3,0,unfiltered,Vega,ROTSE-IIIc-HESS-Namibia,no,6495
2157,18.4,0.1,unfiltered,Vega,ROTSE-IIIc-HESS-Namibia,no,6497
3344,19.12,0.11,white_swift,swift,Swift/UVOT,no,6504
4730.5,19.51,0.31,uvw1_swift,swift,Swift/UVOT,no,6504
10489,20.72,0,uvw1_swift,swift,Swift/UVOT,no,6504
4525.5,19.64,0,uvm2_swift,swift,Swift/UVOT,no,6504
4117.5,19.97,0,uvw2_swift,swift,Swift/UVOT,no,6504
1766,19.08,0.24,R,Vega,Watcher-40cm-telescope-South_Africa,no,6528
2253,18.53,0.24,R,Vega,Watcher-40cm-telescope-South_Africa,no,6528
2501,19.12,0.3,R,Vega,Watcher-40cm-telescope-South_Africa,no,6528
2866,18.99,0.26,R,Vega,Watcher-40cm-telescope-South_Africa,no,6528
3309,19.19,0.24,R,Vega,Watcher-40cm-telescope-South_Africa,no,6528
29520,21,0,R,Bessel,FORS2,no,arXiv0907.3449
