Time(s),Mag,MagErr,Filter,System,Observatory/Telescope,GalExtCorr,Source
79200,20.5,0,R,AB,Palomar-200inch,no,1099
142989,18.93,0.05,I,AB,Tautenburg_Schmidt_telescope,no,1113
3120,15.3,0.15,clear,Johnson,LOTIS,no,1114
3120,14.2,0.15,V,Johnson,LOTIS,no,1114
76809,19.6,0.3,r',AB,SDSS-0.5mPhotometric_Telescope,no,1125
173229,20,0,r',AB,SDSS-0.5mPhotometric_Telescope,no,1125
76809,20.5,0,u,AB,SDSS-0.5mPhotometric_Telescope,no,1125
76809,18.5,0,g,AB,SDSS-0.5mPhotometric_Telescope,no,1125
76809,17.5,0,i,AB,SDSS-0.5mPhotometric_Telescope,no,1125
76809,15,0,z,AB,SDSS-0.5mPhotometric_Telescope,no,1125
173229,19.5,0,u,AB,SDSS-0.5mPhotometric_Telescope,no,1125
173229,20,0,g,AB,SDSS-0.5mPhotometric_Telescope,no,1125
173229,18.5,0,i,AB,SDSS-0.5mPhotometric_Telescope,no,1125
173229,18.5,0,z,AB,SDSS-0.5mPhotometric_Telescope,no,1125
78549,19.4,0.2,R,Johnson,Super-LOTIS,no,1131
90549,19.9,0.2,R,Johnson,Super-LOTIS,no,1131
164949,21.2,0.3,R,Johnson,Super-LOTIS,no,1131
177069,21.2,0.3,R,Johnson,Super-LOTIS,no,1131
3135.4,15.2,0.15,clear,Johnson,LOTIS,no,astro-ph/0112397
3135.4,15.6,0.15,V,Johnson,LOTIS,no,astro-ph/0112397
17132.2,15.2,0.15,clear,Johnson,LOTIS,no,astro-ph/0112397
17132.2,15.6,0.15,V,Johnson,LOTIS,no,astro-ph/0112397
77059.6,20.5,0.5,u',AB,SDSS-0.5mPhotometric_Telescope,no,astro-ph/0112397
77255.2,20.8,0.6,g',AB,SDSS-0.5mPhotometric_Telescope,no,astro-ph/0112397
77514.4,19.5,0.3,r',AB,SDSS-0.5mPhotometric_Telescope,no,astro-ph/0112397
77773.6,18.8,0.7,i',AB,SDSS-0.5mPhotometric_Telescope,no,astro-ph/0112397
78032.8,15,0.5,z',AB,SDSS-0.5mPhotometric_Telescope,no,astro-ph/0112397
79037.6,19.4,0.1,clear,Johnson,Super-LOTIS,no,astro-ph/0112397
91047.2,19.9,0.1,clear,Johnson,Super-LOTIS,no,astro-ph/0112397
137236.8,19.32,0.08,Ic,Johnson-Cousins,Tautenburg_Schmidt_telescope,no,astro-ph/0112397
165437.6,21.1,0.3,clear,Johnson,Super-LOTIS,no,astro-ph/0112397
175210,19.5,0.5,u',AB,SDSS-0.5mPhotometric_Telescope,no,astro-ph/0112397
175592,22.4,1,g',AB,SDSS-0.5mPhotometric_Telescope,no,astro-ph/0112397
176110.4,21.5,1,r',AB,SDSS-0.5mPhotometric_Telescope,no,astro-ph/0112397
176542.4,18.5,0.5,i',AB,SDSS-0.5mPhotometric_Telescope,no,astro-ph/0112397
177060.8,18,0.5,z',AB,SDSS-0.5mPhotometric_Telescope,no,astro-ph/0112397
177620,21.2,0.3,clear,Johnson,Super-LOTIS,no,astro-ph/0112397
2985686.4,20.94,0.26,Ic,Johnson-Cousins,Tautenburg_Schmidt_telescope,no,astro-ph/0112397
4901280,21.93,0.09,Rc,Johnson-Cousins,USNOFS,no,astro-ph/0112397
4901280,21.05,0.08,Ic,Johnson-Cousins,USNOFS,no,astro-ph/0112397
79890.6,19.593,0.033,r',AB,Palomar-200inch+LFC,no,astro-ph/0201399
80236.2,19.601,0.039,r',AB,Palomar-200inch+LFC,no,astro-ph/0201399
92418.6,18.854,0.064,I,Vega,USNOFS1.0,no,astro-ph/0201399
92764.2,19.669,0.06,R,Vega,USNOFS1.0,no,astro-ph/0201399
93196.2,20.296,0.07,V,Vega,USNOFS1.0,no,astro-ph/0201399
93714.6,21.159,0.088,B,Vega,USNOFS1.0,no,astro-ph/0201399
94492.2,20.91,0.205,U,Vega,USNOFS1.0,no,astro-ph/0201399
95183.4,19.79,0.069,R,Vega,USNOFS1.0,no,astro-ph/0201399
530034.6,21.62,0.036,r',AB,Palomar-200inch+LFC,no,astro-ph/0201399
1814975.4,21.693,0.053,R,Vega,Palomar-200inch+LFC,no,astro-ph/0201399
2239977,21.994,0.028,r',AB,Palomar-200inch+LFC,no,astro-ph/0201399
2241705,21.66,0.022,i',AB,Palomar-200inch+LFC,no,astro-ph/0201399
2321452.2,21.918,0.03,r',AB,Palomar-200inch+LFC,no,astro-ph/0201399
2323353,21.67,0.021,i',AB,Palomar-200inch+LFC,no,astro-ph/0201399
2415628.2,22.947,0.043,g',AB,Palomar-200inch+LFC,no,astro-ph/0201399
2409666.6,21.977,0.028,r',AB,Palomar-200inch+LFC,no,astro-ph/0201399
2411481,21.65,0.03,i',AB,Palomar-200inch+LFC,no,astro-ph/0201399
2413122.6,21.419,0.043,z',AB,Palomar-200inch+LFC,no,astro-ph/0201399
2422108.2,23.423,0.079,B,Vega,Palomar-60Inch,no,astro-ph/0201399
2418047.4,22.324,0.057,V,Vega,Palomar-60Inch,no,astro-ph/0201399
2423749.8,21.807,0.051,R,Vega,Palomar-60Inch,no,astro-ph/0201399
3548245.8,19.069,0.037,Ks,Johnson,Keck-I+NIRC,no,astro-ph/0201399
3553257,19.75,0.035,H,Johnson,Keck-I+NIRC,no,astro-ph/0201399
3550751.4,20.338,0.019,J,Johnson,Keck-I+NIRC,no,astro-ph/0201399
