191,18.5,0,white_swift,swift,6692,Swift/UVOT,no
1758,21,0,R,Johnson,6693,Swift/BAT,no
600,20,0,Js,Bessel,6694,2.2m-telescope-La_Silla+GROND,no
3474,21.5,0,I,Johnson/Bessel?,6695,,no
8508.5,21.25,0,white_swift,swift,6701,Swift/UVOT,no
6319.5,19.96,0,v_swift,swift,6701,Swift/UVOT,no
2737.5,19.84,0,uvm2_swift,swift,6701,Swift/UVOT,no
2824,19.77,0,uvw1_swift,swift,6701,Swift/UVOT,no
3505,19.52,0,u_swift,swift,6701,Swift/UVOT,no
8704.5,21.27,0,b_swift,swift,6701,Swift/UVOT,no
5825.5,21.16,0,uvw2_swift,swift,6701,Swift/UVOT,no
502,17,0,R,Bessel,6704,60cm-REM-telescope-ESO-La_Silla,no
3375.89,20.39,0.05,z,Vega,arXiv0810.2897,ESO-VLT+FORS2,no
3517.59,21.36,0.1,I,Vega,arXiv0810.2897,ESO-VLT+FORS2,no
3249.75,21.86,0.06,R,Vega,arXiv0810.2897,ESO-VLT+FORS2,no
4035.99,22.03,0.06,R,Vega,arXiv0810.2897,ESO-VLT+FORS2,no
4120.66,22.18,0.06,R,Vega,arXiv0810.2897,ESO-VLT+FORS2,no
4755.7,22.26,0.05,R,Vega,arXiv0810.2897,ESO-VLT+FORS2,no
10907.3,22.72,0.05,R,Vega,arXiv0810.2897,ESO-VLT+FORS2,no
3628.18,22.69,0.15,V,Vega,arXiv0810.2897,ESO-VLT+FORS2,no
3788.02,23.99,0.28,B,Vega,arXiv0810.2897,ESO-VLT+FORS2,no
