Time(s),Mag,MagErr,Filter,System,Observatory/Telescope,GalExtCorr,Source
135,20.9,0.6,white_swift,swift,Swift/UVOT,no,5883
6300.5,20.9,0.4,white_swift,swift,Swift/UVOT,no,5883
30618,22.3,0,I,Landolt?,VLT+FORS2 ,no,5884
6163.5,20.8,0,v_swift,swift,Swift/UVOT,no,5898
3433,20.9,0,b_swift,swift,Swift/UVOT,no,5898
3318.5,20.7,0.4,u_swift,swift,Swift/UVOT,no,5898
9273.5,20.7,0.5,uvw1_swift,swift,Swift/UVOT,no,5898
39917,22.9,0.5,uvw1_swift,swift,Swift/UVOT,no,5898
123449,23,0,uvw1_swift,swift,Swift/UVOT,no,5898
10666,20.5,0.5,uvm2_swift,swift,Swift/UVOT,no,5898
3604.5,19.8,0.5,uvm2_swift,swift,Swift/UVOT,no,5898
3244,20.8,0.3,white_swift,swift,Swift/UVOT,no,5898
9273.5,20.8,0.4,unfiltered,swift,Swift/UVOT,no,5898
119145,23.6,0,I,Landolt?,VLT,no,5909
1415520,24.8,0,I,Landolt,VLT+FORS2 ,yes,arXiv1901.05792
1155600,24.9,0,R,Landolt,VLT+FORS2 ,yes,arXiv1901.05792
14828760,25.9,0,R,Landolt,VLT+FORS2 ,yes,arXiv1901.05792
6660,21.23,0,v_swift,swift,Swift/UVOT,yes,arXiv1901.05792
3456,21.14,0,b_swift,swift,Swift/UVOT,yes,arXiv1901.05792
3276,20.86,0.54,u_swift,swift,Swift/UVOT,yes,arXiv1901.05792
3600,19.94,0.41,uvw2_swift,swift,Swift/UVOT,yes,arXiv1901.05792
8640,20.75,0.36,uvw1_swift,swift,Swift/UVOT,yes,arXiv1901.05792
10620,21.44,0.54,uvm2_swift,swift,Swift/UVOT,yes,arXiv1901.05792
45720,22.72,0.47,uvw1_swift,swift,Swift/UVOT,yes,arXiv1901.05792
133560,22.97,0,uvw1_swift,swift,Swift/UVOT,yes,arXiv1901.05792
3341.8,20.9,0.3,white_swift,swift,Swift/UVOT,no,arXiv0708.3553
3390.2,20.86,0.54,u_swift,swift,Swift/UVOT,no,arXiv0708.3553
3557,21.14,0,b_swift,swift,Swift/UVOT,no,arXiv0708.3553
3689.8,19.94,0.41,uvw2_swift,swift,Swift/UVOT,no,arXiv0708.3553
6689.9,21.23,0,v_swift,swift,Swift/UVOT,no,arXiv0708.3553
9504.3,20.75,0.36,uvw1_swift,swift,Swift/UVOT,no,arXiv0708.3553
10965.2,21.44,0.54,uvm2_swift,swift,Swift/UVOT,no,arXiv0708.3553
32837.6,22.36,0.08,I,Landolt,VLT+FORS2 ,no,arXiv0708.3553
32617.2,23.05,0.12,R,Landolt,VLT+FORS2 ,no,arXiv0708.3553
45681.3,22.72,0.47,uvw1_swift,swift,Swift/UVOT,no,arXiv0708.3553
133429.6,22.97,0,uvw1_swift,swift,Swift/UVOT,no,arXiv0708.3553
121745.6,23.6,0,I,Landolt,VLT+FORS2 ,no,arXiv0708.3553
294268.8,24,0,I,Landolt,VLT+FORS2 ,no,arXiv0708.3553
1155723.6,24.9,0,R,Landolt,VLT+FORS2 ,no,arXiv0708.3553
1416211.2,24.8,0,I,Landolt,VLT+FORS2 ,no,arXiv0708.3553
14831798.4,25.9,0,R,Landolt,VLT+FORS2 ,no,arXiv0708.3553
86400,28.9,0.4,Rc,Landolt,VLT+FORS2 ,no,arXiv0804.1959
