Time(s),Mag,MagErr,Filter,System,Observatory/Telescope,GalExtCorr,Source
23040,19.3,0,R,Bessel,Faulkes-Telescope-South,no,6647
22320,17.8,0,I,Bessel,Faulkes-Telescope-South,no,6647
150,16.82,0.1,white_swift,swift,Swift/UVOT,no,6650
706,18.8,0,white_swift,swift,Swift/UVOT,no,6650
1810,19.9,0,white_swift,swift,Swift/UVOT,no,6650
5902.5,20.9,0,white_swift,swift,Swift/UVOT,no,6650
330,16.7,0.1,v_swift,swift,Swift/UVOT,no,6650
631,17.5,0,v_swift,swift,Swift/UVOT,no,6650
1038.5,18.3,0,v_swift,swift,Swift/UVOT,no,6650
5599.5,18.7,0,v_swift,swift,Swift/UVOT,no,6650
768.5,18.4,0,b_swift,swift,Swift/UVOT,no,6650
5701.5,20.4,0,b_swift,swift,Swift/UVOT,no,6650
748.5,18.5,0,u_swift,swift,Swift/UVOT,no,6650
5496.5,20.1,0,u_swift,swift,Swift/UVOT,no,6650
648,18.8,0,uvw1_swift,swift,Swift/UVOT,no,6650
3373.5,20.2,0,uvw1_swift,swift,Swift/UVOT,no,6650
3258.5,18.9,0,uvm2_swift,swift,Swift/UVOT,no,6650
790,20.6,0,uvw2_swift,swift,Swift/UVOT,no,6650
3841,18.8,0,uvw2_swift,swift,Swift/UVOT,no,6650
80460,24.3,0,R,Bessel,FORS2,no,arXiv0907.3449
