Time(s),Mag,MagErr,Filter,System,Observatory/Telescope,GalExtCorr,Source
84514,23.5,0,R,Vega,WHT,no,6630
120,20.4,0,white_swift,swift,Swift/UVOT,no,6632
377,19.6,0,v_swift,swift,Swift/UVOT,no,6632
1147,19.2,0,b_swift,swift,Swift/UVOT,no,6632
1199,19.2,0,u_swift,swift,Swift/UVOT,no,6632
1178.5,19.1,0,uvw1_swift,swift,Swift/UVOT,no,6632
1181.5,19.2,0,uvw2_swift,swift,Swift/UVOT,no,6632
85744,21,0,K,Vega,TNG+NICS,no,6635
85744,20.7,0,J,Vega,TNG+NICS,no,6635
379504,25.5,0,R,Vega,10m-Keck-I-Telescope+LRIS,no,6652
3606.5,20.95,0.23,white_swift,swift,Swift/UVOT,no,6689
3147,20.36,0.32,v_swift,swift,Swift/UVOT,no,6689
47462,20.9,0,v_swift,swift,Swift/UVOT,no,6689
3567.5,20.14,0.38,uvw1_swift,swift,Swift/UVOT,no,6689
55482,22.1,0,uvw1_swift,swift,Swift/UVOT,no,6689
3452,20.02,0.37,uvm2_swift,swift,Swift/UVOT,no,6689
54575.5,22.3,0,uvm2_swift,swift,Swift/UVOT,no,6689
4018.5,20.55,0.37,uvw2_swift,swift,Swift/UVOT,no,6689
60335.5,22.1,0,uvw2_swift,swift,Swift/UVOT,no,6689
790.32,20.3,0.18,r,AB,Liverpool,yes,arXiv0808.2610
1027.68,20.14,0.11,r,AB,Liverpool,yes,arXiv0808.2610
1122.72,19.88,0.17,i,AB,Liverpool,yes,arXiv0808.2610
1511.52,20.28,0.25,r,AB,Liverpool,yes,arXiv0808.2610
1641.12,20.27,0.23,r,AB,Liverpool,yes,arXiv0808.2610
86252.1,24.11,0.21,R,Vega,WHT,yes,arXiv0808.2610
88920,23.5,0.3,R,Strömgren,WHT,yes,arXiv1901.05792
379800,23.5,0.3,R,Strömgren,WHT,yes,arXiv1901.05792
86400,21,0.3,R,Strömgren,WHT,yes,arXiv1901.05792
84134.2,21.2,0,J,Strömgren,WHT/Liverpool,no,arXiv0804.1959
86089.2,20.63,0.52,K,Strömgren,WHT/Liverpool,no,arXiv0804.1959
86400,23.95,0.21,Rc,Strömgren,WHT/Liverpool,no,arXiv0804.1959
