# t(s)	flux(erg)	err		beta(from Wang 2015)	z
744.5952	6.21223E-12	2.28867E-13	0.51		2.1992
804.5914	5.82435E-12	2.68221E-13	0.51		2.1992
865.5898	5.66561E-12	2.60911E-13	0.51		2.1992
925.5945	5.46069E-12	2.51474E-13	0.51		2.1992
985.5907	5.51122E-12	3.04561E-13	0.51		2.1992
1045.595	4.9802E-12	2.29347E-13	0.51		2.1992
1105.592	4.80007E-12	2.21051E-13	0.51		2.1992
1165.596	4.93454E-12	2.72693E-13	0.51		2.1992
1225.593	4.37771E-12	2.82241E-13	0.51		2.1992
1285.597	4.10438E-12	2.64619E-13	0.51		2.1992
1345.594	4.41822E-12	2.4416E-13	0.51		2.1992
1465.595	4.06675E-12	2.62193E-13	0.51		2.1992
1525.591	4.2584E-12	2.35328E-13	0.51		2.1992
1585.595	3.99252E-12	2.57407E-13	0.51		2.1992
1645.592	4.66925E-12	6.4508E-13	0.51		2.1992
1705.596	3.77787E-12	2.78364E-13	0.51		2.1992
1765.593	3.91964E-12	2.52709E-13	0.51		2.1992
1825.597	3.77787E-12	2.43568E-13	0.51		2.1992
1886.596	3.81283E-12	2.8094E-13	0.51		2.1992
1946.592	3.44546E-12	2.53871E-13	0.51		2.1992
2006.597	3.32084E-12	2.44688E-13	0.51		2.1992
2066.593	3.44546E-12	2.85604E-13	0.51		2.1992
2126.598	3.35157E-12	2.46953E-13	0.51		2.1992
2186.594	3.29039E-12	2.7275E-13	0.51		2.1992
2426.596	3.05666E-12	3.09682E-13	0.51		2.1992
2486.592	2.76215E-12	2.54403E-13	0.51		2.1992
2546.597	2.56594E-12	2.59965E-13	0.51		2.1992
2606.593	2.71173E-12	2.24784E-13	0.51		2.1992
2666.598	3.05666E-12	2.25223E-13	0.51		2.1992
2726.594	2.54242E-12	3.04415E-13	0.51		2.1992
2786.59	2.25552E-12	2.70064E-13	0.51		2.1992
2846.595	2.66224E-12	2.69722E-13	0.51		2.1992
2907.593	2.45046E-12	2.93404E-13	0.51		2.1992
2967.598	2.68687E-12	2.96964E-13	0.51		2.1992
3027.594	2.73683E-12	2.52071E-13	0.51		2.1992
3087.59	2.73683E-12	2.52071E-13	0.51		2.1992
3147.595	2.27639E-12	2.51596E-13	0.51		2.1992
3207.591	2.47313E-12	2.50562E-13	0.51		2.1992
3267.596	1.91094E-12	2.99207E-13	0.51		2.1992
3283.2	2.25552E-12	4.15483E-14	0.51		2.1992
3327.592	2.21436E-12	2.65135E-13	0.51		2.1992
3387.597	2.31871E-12	2.7763E-13	0.51		2.1992
3447.593	2.47313E-12	2.50562E-13	0.51		2.1992
