Time	Mag	MagErr	Band	GCN
1994.  19.08  0.01  g'	8693 
1994.  18.04  0.01  i'	8693 
1994.  18.24  0.01  z'	8693 
2119.  16.12  0.03  J	8693 
2119.  15.45  0.02  H	8693 
2119.  14.92  0.03  Ks	8693 
135    14.84  0.02 white 8696
948    17.36  0.03 white 8696
397    16.32  0.03 u 8696
19992  20.45  0.25 i 8699
21936  21.34  0.30 r 8699
135.	14.84	0.02	white	8712
948.	17.36	0.03	white	8712
612.	16.2	0.02	v	8712
538.	16.86	0.02	b	8712
397.	16.32	0.03	u	8712
1233.5	>20.9	?	uvw1	8712
1208.5	>21.0	?	uvm2	8712
1245.5	>21.1	?	uvw2	8712
17017. >18.3 ?  g'	8724 
18204. >19.2 ?  g'	8724  
22939. >19.2 ?  g'	8724 
17017. 18.0 0.3 Rc	8724 
18204. 18.9 0.3 Rc   8724 
22939. 19.3 0.4 Rc   8724 
17017. >17.8 ?  Ic   8724 
18204. >18.2 ?  Ic   8724 
22939. 18.6 0.3 Ic   8724 
