time_sec	flux_R	flux_err_R	band	source
416.9	9.080393331654854e-13	2.1894934263985625e-14	R	Li_Liang
574.5	1.3758171714628564e-12	2.3116981098332163e-14	R	Li_Liang
745.7	1.88537908681947e-12	1.8281668123457393e-14	R	Li_Liang
933.4	2.476470908633142e-12	2.1844891720799606e-14	R	Li_Liang
1072.6	2.772016819539978e-12	1.7438963910165072e-14	R	Li_Liang
1197.7	3.0369890155254165e-12	1.906856076728538e-14	R	Li_Liang
1342.3	3.3019612115108557e-12	2.079403638964026e-14	R	Li_Liang
1455.6	3.526168454267766e-12	1.9447141130960193e-14	R	Li_Liang
1559.5	3.63827207564622e-12	2.000945345744968e-14	R	Li_Liang
1676.7	3.882861795017396e-12	2.133883789795309e-14	R	Li_Liang
1794.7	3.893053033324528e-12	2.1441206732468295e-14	R	Li_Liang
1899.6	3.964391701474453e-12	2.1875936231278234e-14	R	Li_Liang
2006.5	3.893053033324528e-12	2.1441206732468295e-14	R	Li_Liang
2189.2	4.045921607931512e-12	1.926091984446958e-14	R	Li_Liang
2383.5	4.045921607931512e-12	1.926091984446958e-14	R	Li_Liang
2535.9	3.882861795017396e-12	1.846744703823369e-14	R	Li_Liang
2642.1	3.811523126867469e-12	2.099808047921884e-14	R	Li_Liang
2761.4	3.811523126867469e-12	2.099808047921884e-14	R	Li_Liang
2832.3	3.750375697024675e-12	2.0665735988319207e-14	R	Li_Liang
2910.5	3.689228267181882e-12	2.0333391677318023e-14	R	Li_Liang
2985.4	3.5567421691891625e-12	1.956632577974979e-14	R	Li_Liang
3056.4	3.5465509308820302e-12	1.9463967277235007e-14	R	Li_Liang
3127.6	3.4752122627321043e-12	1.9123198363794465e-14	R	Li_Liang
3196.2	3.4548297861178398e-12	1.9012416552847944e-14	R	Li_Liang
3315.1	3.3936823562750465e-12	1.868007122821096e-14	R	Li_Liang
3405.9	3.3121524498179883e-12	1.8236944393436972e-14	R	Li_Liang
4161.1	3.0267977772182847e-12	1.437006352168466e-14	R	Li_Liang
4449.6	2.9045029175326974e-12	1.3797734429862424e-14	R	Li_Liang
4663.2	2.822973011075639e-12	1.3446554948665084e-14	R	Li_Liang
5601.4	2.517235861861671e-12	1.197018229521379e-14	R	Li_Liang
5803	2.4560884320188773e-12	1.1729598698358925e-14	R	Li_Liang
6029	2.3541760489475546e-12	1.1204044876042564e-14	R	Li_Liang
6216.6	2.303219857411893e-12	1.097317167248793e-14	R	Li_Liang
6586.2	2.2318811892619677e-12	1.0631721791720847e-14	R	Li_Liang
6788.3	2.191116236033438e-12	1.0419684525384584e-14	R	Li_Liang
6984.5	2.1197775678835122e-12	1.0087346660114373e-14	R	Li_Liang
7280.4	2.0280564231193218e-12	9.66266117878271e-15	R	Li_Liang
7469.1	1.9872914698907927e-12	9.468849068433673e-15	R	Li_Liang
7656.7	1.956717754969396e-12	9.302986667615672e-15	R	Li_Liang
7846.2	1.9363352783551313e-12	9.201525805396674e-15	R	Li_Liang
8036.3	1.9057615634337345e-12	9.062998979059414e-15	R	Li_Liang
8243.4	1.854805371898073e-12	8.841238660868613e-15	R	Li_Liang
8431.2	1.8140404186695444e-12	8.638311711234712e-15	R	Li_Liang
8621.9	1.803849180362412e-12	8.564805151250302e-15	R	Li_Liang
8811.9	1.7528929888267506e-12	9.639987885422644e-15	R	Li_Liang
9084	1.691745558983957e-12	9.317038625156228e-15	R	Li_Liang
9272.3	1.6509806057554278e-12	7.84484029872863e-15	R	Li_Liang
9459.1	1.6407893674482956e-12	7.798664511568575e-15	R	Li_Liang
9645.7	1.5796419376055021e-12	7.539845953560911e-15	R	Li_Liang
9847.8	1.538876984376973e-12	8.486177818727084e-15	R	Li_Liang
10037	1.5184945077627083e-12	7.208119953826123e-15	R	Li_Liang
10227	1.4879207928413116e-12	7.096930473577257e-15	R	Li_Liang
10420	1.4777295545341794e-12	8.135037225011686e-15	R	Li_Liang
10622	1.4369646013056503e-12	7.922872096641754e-15	R	Li_Liang
10811	1.4165821246913855e-12	6.737252336994722e-15	R	Li_Liang
11001	1.386008409769989e-12	6.580507072651786e-15	R	Li_Liang
11194	1.3350522182343275e-12	9.525419987939897e-15	R	Li_Liang
11333	1.314669741620063e-12	6.239059193918088e-15	R	Li_Liang
11574	1.2840960266986662e-12	7.063818021184247e-15	R	Li_Liang
11763	1.2535223117772693e-12	5.980232322351473e-15	R	Li_Liang
11957	1.2229485968558725e-12	1.0716802786482758e-14	R	Li_Liang
12134	1.1923748819344757e-12	8.500902916624874e-15	R	Li_Liang
12270	1.1719924053202111e-12	6.46391684022983e-15	R	Li_Liang
12410	1.1516099287059466e-12	7.255793032278745e-15	R	Li_Liang
12552	1.1210362137845498e-12	8.907387842224938e-15	R	Li_Liang
266590	1.0496975456346239e-14	4.835823923410459e-16	R	Li_Liang
