COATLI observations of GRB 180205A
ti (s)	mag (AB)	mag err		filter
217.0 	15.639		0.078		w
221.8 	15.568		0.017		w
230.8 	15.624		0.018		w
239.8 	15.629		0.018		w
248.8 	15.648		0.018		w
257.8 	15.723		0.019		w
268.1 	15.762		0.020		w
277.2 	15.771		0.020		w
286.2 	15.766		0.021		w
295.2 	15.796		0.021		w
305.3 	15.791		0.021		w
314.3 	15.825		0.021		w
323.3 	15.824		0.021		w
350.4	15.866		0.021		w
359.3	15.954		0.022		w
368.3 	15.876		0.021		w
377.4 	15.928		0.022		w
386.4 	15.936		0.022		w
396.4 	15.925		0.023		w
405.4 	15.956		0.022		w
414.4 	15.945		0.022		w
423.4 	15.981		0.023		w
441.4 	15.978		0.023		w
450.4 	16.069		0.024		w
468.4 	16.061		0.024		w
477.4 	16.053		0.024		w
496.6 	16.088		0.024		w
505.6 	16.122		0.025		w
515.1 	16.131		0.025		w
525.5 	16.146		0.026		w
543.6 	16.195		0.026		w
552.6 	16.151		0.026		w
570.6 	16.225		0.027		w
580.8 	16.253		0.029		w
598.8 	16.228		0.026		w
616.8 	16.226		0.026		w
625.8 	16.215		0.026		w
643.8 	16.277		0.028		w
652.8	16.284		0.028		w
673.2 	16.352		0.029		w
682.2 	16.344		0.029		w
691.2 	16.313		0.029		w
709.2 	16.422		0.031		w
718.2 	16.373		0.030		w
727.2 	16.400		0.031		w
736.2 	16.418		0.031		w
745.2 	16.404		0.031		w
754.2 	16.432		0.031		w
764.1 	16.417		0.033		w
777.0 	16.430		0.031		w
786.0 	16.530		0.033		w
813.1 	16.472		0.032		w
822.2 	16.455		0.032		w
840.2 	16.519		0.033		w
850.5 	16.564		0.034		w
860.7 	16.497		0.034		w
869.7 	16.512		0.033		w
878.7 	16.567		0.034		w
891.1 	16.583		0.035		w
900.1 	16.548		0.034		w
909.1 	16.566		0.035		w
918.1 	16.576		0.034		w
927.1 	16.654		0.037		w
936.1 	16.652		0.036		w
945.1 	16.605		0.035		w
955.2 	16.604		0.039		w
964.2 	16.670		0.037		w
973.2 	16.735		0.038		w
982.2 	16.687		0.037		w
991.2 	16.677		0.037		w
1000.2	16.715		0.038		w
1018.2	16.769		0.040		w
1027.2	16.728		0.038		w
1036.2	16.688		0.037		w
1048.4	16.685		0.037		w
1066.4	16.761		0.040		w
1077.6	16.794		0.040		w
1086.7	16.824		0.041		w
1095.7	16.732		0.038		w
1104.7	16.783		0.040		w
1113.8	16.828		0.041		w
1122.8	16.763		0.040		w
1131.8	16.821		0.041		w
1141.9	16.885		0.045		w
1150.9	16.917		0.045		w
1159.9	16.847		0.042		w
1168.9	16.934		0.044		w
1178.0	16.912		0.044		w
1187.0	16.962		0.046		w
1196.0	16.976		0.046		w
1205.0	16.919		0.044		w
1214.0	16.892		0.043		w
1223.0	16.873		0.043		w
1233.0	16.873		0.047		w
1242.0	16.878		0.043		w
1251.0	16.885		0.043		w
1261.7	17.029		0.048		w
1270.7	16.981		0.047		w
1279.7	16.917		0.045		w
1288.7	16.926		0.045		w
1297.7	16.905		0.045		w
1306.7	16.994		0.046		w
1315.8	17.009		0.048		w
1325.9	16.983		0.050		w
1334.9	17.007		0.047		w
1343.9	17.069		0.050		w
1352.9	17.028		0.049		w
1361.9	17.060		0.050		w
1381.2	17.016		0.049		w
1399.2	17.100		0.052		w
1418.3	17.011		0.049		w
1427.3	17.072		0.050		w
1436.3	17.028		0.048		w
1447.1	17.019		0.048		w
1465.1	17.110		0.052		w
1474.2	17.054		0.050		w
1483.1	17.034		0.049		w
1492.1	17.068		0.050		w
1806.7	17.362		0.024		w
1898.7	17.445		0.025		w
1995.7	17.421		0.025		w
2115.7	17.456		0.026		w
2208.7	17.581		0.028		w
2300.7	17.583		0.029		w
2391.7	17.591		0.028		w
2522.7	17.663		0.030		w
