z=   6.2349999e-01 0.
TotalEnergy(erg)    3.3447889287999889e+05    2.3669705130937014e+04
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    1.8834754093248341e+06    8.1689171990957620e+04
Energy2(erg)    2.6244446733153763e+05    2.2690453056936956e+04
T_min_T_max    1.1087157447680265e+03    4.8783492769793165e+05
Interval1    1.1087157447680265e+03    2.2737570672306607e+04
Interval2    2.2737570672306607e+04    4.8783492769793165e+05
