639.97995		1.16E-12	4.60E-15	4.60E-15		R
672.34129		8.73E-13	3.52E-15	3.52E-15		R
706.29891		6.74E-13	2.76E-15	2.76E-15		R
735.46816		7.61E-13	3.09E-15	3.09E-15		R
923.44558		8.59E-13	3.46E-15	3.46E-15		R
961.61002		9.54E-13	3.82E-15	3.82E-15		R
1032.48		1.34E-12	1.23E-13	1.23E-13		R
1034.44785		1.08E-12	4.27E-15	4.27E-15		R
1236.46533		1.51E-12	5.86E-15	5.86E-15		R
1287.78577		1.52E-12	5.91E-15	5.91E-15		R
1352.21278		1.52E-12	5.91E-15	5.91E-15		R
1431.72691		1.37E-12	5.37E-15	5.37E-15		R
1478.92152		1.46E-12	5.69E-15	5.69E-15		R
1527.71521		1.53E-12	5.95E-15	5.95E-15		R
1604.37351		1.42E-12	5.53E-15	5.53E-15		R
1698.47425		1.38E-12	5.42E-15	5.42E-15		R
2888.352		8.43E-13	7.76E-14	7.76E-14		R
4730.4		4.85E-13	4.47E-14	4.47E-14		R
6561.216		5.32E-13	4.90E-14	4.90E-14		R
8367.84		4.85E-13	4.47E-14	4.47E-14		R
10186.56		4.03E-13	7.43E-14	7.43E-14		R
12019.968		5.32E-13	4.90E-14	4.90E-14		R
13835.232		7.69E-13	7.08E-14	7.08E-14		R
15644.448		1.11E-12	1.02E-13	1.02E-13		R
15733.44		1.49E-12	4.12E-14	4.12E-14		R
17472.672		1.01E-12	9.33E-14	9.33E-14		R
19321.632		1.11E-12	1.02E-13	1.02E-13		R
20982.24		1.53E-12	5.95E-15	5.95E-15		R
21155.04		1.46E-12	5.69E-15	5.69E-15		R
21676.896		1.52E-12	5.91E-15	5.91E-15		R
21852.288		1.57E-12	6.08E-15	6.08E-15		R
21854.016		1.50E-12	5.83E-15	5.83E-15		R
22391.424		1.62E-12	6.27E-15	6.27E-15		R
22395.744		1.44E-12	5.62E-15	5.62E-15		R
22577.184		1.51E-12	5.86E-15	5.86E-15		R
22760.352		1.54E-12	6.00E-15	6.00E-15		R
22762.08		1.47E-12	5.74E-15	5.74E-15		R
22949.568		1.42E-12	5.53E-15	5.53E-15		R
23324.544		1.48E-12	5.78E-15	5.78E-15		R
23512.032		1.60E-12	6.22E-15	6.22E-15		R
27446.688		1.46E-12	5.69E-15	5.69E-15		R
28588.896		1.41E-12	5.49E-15	5.49E-15		R
30020.544		1.37E-12	5.37E-15	5.37E-15		R
30507.84		1.51E-12	5.86E-15	5.86E-15		R
31777.056		1.44E-12	5.62E-15	5.62E-15		R
37094.112		1.34E-12	5.25E-15	5.25E-15		R
37711.008		1.19E-12	4.71E-15	4.71E-15		R
38327.04		1.23E-12	4.85E-15	4.85E-15		R
39602.304		1.12E-12	4.43E-15	4.43E-15		R
39604.896		1.08E-12	4.27E-15	4.27E-15		R
41248.224		1.08E-12	4.30E-15	4.30E-15		R
90377.856		3.48E-13	1.28E-14	1.28E-14		R
92470.9824		4.34E-13	4.00E-14	4.00E-14		R
93451.968		4.42E-13	2.85E-14	2.85E-14		R
93785.472		3.26E-13	1.20E-14	1.20E-14		R
94759.9776		4.67E-13	1.72E-14	1.72E-14		R
98877.888		2.76E-13	1.02E-14	1.02E-14		R
101867.328		3.06E-13	2.82E-14	2.82E-14		R
119481.8688		3.26E-13	3.91E-14	3.91E-14		R
119829.888		3.06E-13	4.23E-14	4.23E-14		R
122940.8928		2.95E-13	3.53E-14	3.53E-14		R
123288.912		2.71E-13	3.50E-14	3.50E-14		R
126135.36		2.50E-13	1.15E-14	1.15E-14		R
184062.24		1.26E-13	6.98E-15	6.98E-15		R
197408.448		1.37E-13	6.14E-16	6.14E-16		R
199108.8		1.14E-13	8.41E-15	8.41E-15		R
207990.72		1.08E-13	1.19E-14	1.19E-14		R
209001.6		1.28E-13	5.74E-16	5.74E-16		R
209043.072		1.13E-13	5.09E-16	5.09E-16		R
209796.48		9.41E-14	1.39E-14	1.39E-14		R
272541.888		7.01E-14	1.29E-14	1.29E-14		R
294389.856		7.45E-14	3.45E-16	3.45E-16		R
375996.384		5.08E-14	2.40E-16	2.40E-16		R
380548.8		4.42E-14	8.15E-15	8.15E-15		R
479568.0384		2.10E-14	2.12E-15	2.12E-15		R
543005.856		1.95E-14	9.67E-17	9.67E-17		R
