Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   1.3721700000000001e+02    1.0000000000000000e+01    2.8191978139972683e-03    1.4930004197502138e-04
   1.6221700000000001e+02    1.5000000000000000e+01    3.9189923843479160e-03    1.7326629252891539e-04
   1.9221700000000001e+02    1.5000000000000000e+01    4.7502058119392402e-03    2.2409218555870058e-04
   2.2788849999999999e+02    2.0671500000000002e+01    4.7709893313789362e-03    2.0953276985120772e-04
   2.7356000000000000e+02    2.5000000000000000e+01    4.8367783396053316e-03    1.9366725257892605e-04
   3.2856000000000000e+02    3.0000000000000000e+01    4.3913080516147611e-03    1.6712929619436265e-04
   3.9356000000000000e+02    3.5000000000000000e+01    3.8185132370567323e-03    1.4230037676372530e-04
   4.7356000000000000e+02    4.5000000000000000e+01    3.3526160096168513e-03    1.1655377325782776e-04
   5.7543899999999996e+02    5.6878999999999998e+01    2.6888423575115203e-03    9.1735805926895141e-05
   7.2105600000000004e+02    5.9500000000000000e+01    1.9810616405925748e-03    6.1531697841167438e-05
   8.9905799999999999e+02    8.9501999999999995e+01    1.4787677841339112e-03    5.1174067920398711e-05
   1.0074660000000000e+03    1.8905999999999999e+01    1.1034928142509459e-03    1.2234132120180131e-04
   4.4925559999999996e+03    2.1000000000000000e+02    2.3252351943140031e-04    2.9801682096576688e-05
   5.6255559999999996e+03    5.0900000000000000e+02    1.7821791509542464e-04    7.4590166489124293e-06
   6.4745559999999996e+03    3.3500000000000000e+02    1.2388378436021806e-04    1.5748813735427859e-05
   1.0956056000000000e+04    9.0850000000000000e+02    7.1610176569461811e-05    3.4670272465324398e-06
   1.2232556000000000e+04    3.6200000000000000e+02    8.8021515927028641e-05    4.4010885313510890e-05
   4.2759555999999997e+04    2.9740000000000000e+03    6.3788085080337523e-06    4.2661484749889372e-06
   5.4000555999999997e+04    3.4760000000000000e+03    1.3749724429321287e-05    4.2261351060676569e-06
   6.3100055999999997e+04    4.9750000000000000e+02    8.6803540559864027e-06    6.3839279778957366e-06
   1.2626655600000000e+05    1.2004000000000000e+04    2.3927638034934995e-06    3.8398061564826961e-06
