Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (erg/cm^2/s/A)
            385.0000             193.5000    6.7920332574641466e-14    2.5022775967964356e-15
            728.0000               9.5000    2.7797119748523614e-14    4.0963350658366871e-15
           1065.0000             196.0000    1.3551887675146539e-14    6.2408750882062209e-16
           1413.0000               9.5000    1.2941952247479163e-14    2.6223953515904933e-15
           1571.0000               9.5000    1.3182561107508354e-14    2.5497334436665855e-15
           1724.0000               9.5000    1.1587768020733854e-14    2.4547276859830654e-15
           1883.0000               9.5000    9.3756155566108397e-15    2.3315205498954996e-15
           2041.0000               9.5000    7.9432785043806364e-15    2.1216487232255251e-15
           2199.0000               9.5000    1.6292952618481216e-14    3.0012728720142445e-15
           6555.0000              97.5000    2.7039570125479194e-15    4.2337420761295088e-16
           7947.0000              63.5000    2.1281379746484121e-15    7.0563152409509757e-16
          18360.0000             435.5000    7.6559620983623035e-16    1.5513084142779847e-16
