88.128	18.131	0.2	0.2		R
419.04	17.631	0.2	0.2		R
432	17.461	0.05	0.05		R
660.96	17.551	0.03	0.03		R
749.952	17.831	0.2	0.2		R
891.648	17.611	0.03	0.03		R
1080.864	18.231	0.3	0.3		R
1120.608	17.601	0.05	0.05		R
1349.568	17.861	0.07	0.07		R
1410.912	19.131	0.7	0.7		R
1580.256	18.221	0.05	0.05		R
1810.08	18.261	0.07	0.07		R
2039.04	18.381	0.08	0.08		R
2268	18.661	0.07	0.07		R
2496.96	18.811	0.09	0.09		R
2725.92	19.181	0.12	0.12		R
2954.88	19.431	0.16	0.16		R
3183.84	19.261	0.12	0.12		R
3412.8	19.311	0.15	0.15		R
3641.76	19.561	0.19	0.19		R
4086.72	20.071	0.23	0.23		R
4735.584	19.341	0.14	0.14		R
4896.288	19.131	0.15	0.15		R
5384.448	19.391	0.15	0.15		R
5546.88	19.531	0.1	0.1		R
381987.36	24.211	0.26	0.26		R
