Time     Mag    	MagErr   	Band       GCN
278       16.8               ?                U          11087  
278       16.76              0.14             U          11088
1170      18.00              0.10             r'         11091    
11160     19.5               0.10             r'         11091   
276       16.80              0.06            u fc        11095  
477.5     17.91              0.32             v          11095  
434.5     21.22              0.20             b          11095   
495.5     16.84              0.06             u          11095  
526.5     17.33              0.20            uvw1        11095 
502.5     17.86              0.31            uvm2        11095   
4030      18.63              0.07            white       11095 
255744    19.75              0.02             R          11122  
253152    18.32              0.04             I          11122  
