time_sec	flux	flux_err	band	logF	logT	mag	mag_err
146114.42	5.0720965238837566e-14	5.142785469311169e-15	r	-13.294812490262126	5.1646930784763585	21.33	0.11
75606.42	2.75365556809729e-13	2.0717551872921874e-14	V	-12.560090382971438	4.87855867449848	19.6	0.076
75606.42	3.9316806856547816e-13	4.0501640465260285e-14	B	-12.405421760954175	4.87855867449848	19.5	0.087
75606.42	1.722865737755194e-13	1.0155635110362364e-14	R	-12.763748565630323	4.87855867449848	19.8	0.064
75606.42	1.84696302007533e-13	1.0807262346612091e-14	I	-12.733541799924135	4.87855867449848	19.3	0.049
55806.42	3.4737864206833774e-20	1.0987815270017253e-20	uvw2	-19.459196886859004	4.7466841632779255	21.02	0.27
56826.42	3.2870258018984835e-20	1.0636742733848029e-20	uvw2	-19.483196886859005	4.754550296846794	21.08	0.28
103718.42	2.5077694190045207e-20	8.306921561965166e-21	uvw1	-19.60071239792808	5.015855892299899	20.7	0.32
257414.42	4.7451662669232364e-14	1.748183857599304e-14	R	-13.323748565630323	5.410632871826397	21.2	0.4
1210334.42	1.2481058948109936e-14	5.747740055739577e-16	R	-13.903748565630321	6.08290538411319	22.65	0.05
