Time      Mag    	MagErr       		Band           GCN
5700       20.6           0.1                     R              5151
198        19.65          0.21                   white           5158
749       >18.4          ?                      white           5158
927       >20.3          ?                      white           5158
6266      >20.9          ?                      white           5158
74157      >22.1          ?                      white           5158
452        >20.1          ?                      V               5158
792        >17.6          ?                      V               5158
1100       >19.5          ?                      V               5158
18351      >20.8          ?                      V               5158
3447       >20.7          ?                      B               5158
18315      >21.0          ?                      U               5158
17925       >22.0          ?                      UVW1            5158
17533      >21.9          ?                      UVM2            5158
23194      >21.7          ?                      UVW2            5158
15120      >20.9           ?                     z'              5232
15120      >21.2           ?                     r'              5232 
17640      >21.5           ?                     i'              5232
17640      >21.3           ?                     z'              5232
