date	time	exp	mag	magerr	band	source
2015-10-29	09:37:54	600.0	20.6	0.4	R	manual
2015-10-29	09:49:54	600.0	21.0	0.5	I	manual
2015-10-29	07:51:26	147.0	16.98	0.03	white	manual
2015-10-29	08:00:28	19.0	17.66	0.32	v	manual
2015-10-29	07:59:14	39.0	19.24	0.33	b	manual
2015-10-29	07:54:58	246.0	17.35	0.06	u	manual
2015-10-29	08:07:27	1800.0	17.7	0.2	clear	manual
2015-10-29	08:37:00	n/a	19.9	0.1	g	manual
2015-10-29	08:37:00	n/a	19.7	0.1	r	manual
2015-10-29	08:37:00	n/a	19.7	0.1	i	manual
2015-10-29	08:37:00	n/a	19.7	0.1	z	manual
2015-10-29	08:37:00	n/a	19.5	0.2	J	manual
