time_sec	flux	flux_err	band	logF	logT	mag	mag_err	source
11071.0	2.548859773431935e-13	9.399584734340659e-14	V	-12.625998077523002	4.044186850767364	19.8	0.4	manual
11384.0	1.0217694716690276e-13	3.768041234761155e-14	v	-13.025998077523004	4.056294887076228	20.8	0.4	manual
11698.0	1.619395479912828e-13	5.971942901885715e-14	v	-12.825998077523003	4.068111617027303	20.3	0.4	manual
12012.0	1.476906230884467e-13	5.4464766585343686e-14	v	-12.865998077523004	4.079615323526944	20.4	0.4	manual
12324.0	1.3469544912789187e-13	4.9672457488823104e-14	v	-12.905998077523002	4.090751689644903	20.5	0.4	manual
12638.0	9.318648334851162e-14	3.436494449242207e-14	v	-13.065998077523002	4.101678351027969	20.9	0.4	manual
12951.0	5.879669607502472e-14	2.1682814120147905e-14	v	-13.265998077523	4.11230330337593	21.4	0.4	manual
13264.0	5.879669607502472e-14	2.1682814120147905e-14	v	-13.265998077523	4.122674513206198	21.4	0.4	manual
13577.0	8.498708289530138e-14	3.134120187095302e-14	v	-13.105998077523004	4.132803818002	21.0	0.4	manual
13891.0	6.446929525152206e-14	2.3774732913767714e-14	v	-13.225998077523002	4.142733511313519	21.3	0.4	manual
25963.0	1.7756318346572482e-12	1.6609733499710383e-13	v	-11.785998077523002	4.414354873342867	17.7	0.1	manual
