Time	Mag	MagErr	Filter	GCN
217	>18.0	?	V	3799
6769.	>20.5	?	V	3804
4333.	>21.4	?	B	3804
3943.	>21.2	?	U	3804
3482.5	>20.3	?	UVW1	3804
7204.	>20.7	?	UVM2	3804
6396.	>20.8	?	UVW2	3804
61560.	21.4	0.3	i	3807
61560.	>21.3	?	R	3807
48369	>23.0	?	V	3809
50097	>23.2	?	R	3809
50961	>20.5	?	I	3809
127857	>21.4	?	I	3809		
