Tstart(s)          Tend(s)    ErrorTime(s)  Exposure(s)    Filter       Magnitude    ErrorMagnitude      ErrMag+   ErrMag-    Sigma     Telescope           ReferenceUpperL  LowerL   
 222000.0      -9.0    -9.000  6300.000 Ibe  24.85   0.17  -9.00  -9.00  -9.00 VLT lipunov07 0 0
1340000.0      -9.0    -9.000  7500.000 Ibe  25.80 100.00  -9.00  -9.00  -9.00 VLT lipunov07 1 0
