time_sec	flux	flux_err	band	logF	logT	mag	mag_err
56755.0	2.560457911425447e-14	2.411749083188834e-15	g	-13.591682358664153	4.754004128010632	22.3	0.1
56755.0	2.7429372940695743e-14	2.526744184351144e-15	r	-13.561784120631287	4.754004128010632	22.0	0.1
56755.0	2.8031029908135193e-14	2.6054524089425183e-15	i	-13.552360945222128	4.754004128010632	21.8	0.1
56755.0	2.939288612394236e-14	2.800752726595201e-15	z	-13.531757767919819	4.754004128010632	21.6	0.1
56755.0	1.938586257331345e-14	3.6753634710470724e-15	J	-13.712514870308254	4.754004128010632	20.9	0.2
56755.0	1.0832401673158024e-14	3.074933621946686e-15	H	-13.965275244412092	4.754004128010632	20.8	0.3
1829.0	4.4766770962564556e-13	1.4852049355625573e-13	v	-12.34904423024722	3.262213705476417	19.09	0.36
1500.0	8.517562863805813e-13	1.0779530908909067e-13	u	-12.069684652441245	3.1760912590556813	18.76	0.13
1903.0	5.038663406905309e-13	1.269918710942884e-13	u	-12.297684652441243	3.2794387882870204	19.33	0.27
4424.0	4.113541464650065e-13	4.1681358203948994e-14	r	-12.385784120631287	3.645815118296642	19.06	0.11
4424.0	4.2819249865123707e-13	3.2001762572743695e-14	i	-12.368360945222127	3.645815118296642	18.84	0.08
