date	time	exp	mag	magerr	band	source
2016-08-04	21:22:00	n/a	20.93	0.03	r	manual
2016-08-04	21:22:00	n/a	21.07	0.05	z	manual
2016-08-05	05:09:00	n/a	21.29	0.02	r	manual
2016-08-05	05:09:00	n/a	20.9	0.02	i	manual
2016-08-05	05:09:00	n/a	21.12	0.19	Z	manual
2016-08-05	05:09:00	n/a	21.04	0.29	Y	manual
2016-08-05	05:09:00	n/a	20.52	0.23	J	manual
2016-08-11	21:15:00	n/a	21.07	0.05	r	manual
2016-08-04	21:27:58	n/a	20.99	0.04	r	manual
2016-08-04	21:27:58	n/a	19.99	0.17	z	manual
2016-08-04	15:08:18	3120.0	20.3	0.1	R	manual
2016-08-04	12:03:5	7200.0	19.9	0.27	CR	manual
2016-08-05	03:50:24	6408.0	21.29	0.02	r	manual
2016-08-05	03:50:24	6408.0	20.9	0.02	i	manual
2016-08-05	03:50:24	2700.0	21.12	0.19	Z	manual
2016-08-05	03:50:24	2700.0	21.04	0.29	Y	manual
2016-08-05	03:50:24	2700.0	20.52	0.23	J	manual
2016-08-04	00:15:10	5040.0	21.5	0.03	g	manual
2016-08-04	00:15:10	5040.0	21.21	0.03	r	manual
2016-08-04	00:15:10	5040.0	20.85	0.03	i	manual
2016-08-04	00:15:10	5040.0	20.66	0.03	z	manual
2016-08-04	00:15:10	4800.0	20.2	0.07	J	manual
2016-08-04	00:15:10	4800.0	19.88	0.07	H	manual
2016-08-04	00:15:10	4800.0	19.69	0.12	K	manual
2016-08-04	01:34:09	147.0	18.53	0.06	white	manual
2016-08-04	01:46:01	148.0	19.66	0.12	white	manual
2016-08-04	01:41:03	432.0	20.4	0.24	b	manual
2016-08-04	01:36:47	246.0	19.53	0.2	u	manual
2016-08-04	02:42:29	197.0	18.9	0.25	w1	manual
