Time	Mag	MagErr	Band	GCN
136	>16.0	?	R	17574
436	>17.5	?	R	17574
170.5	17.22	0.03	white	17580
684	19.13	0.18	white	17580
5571.5	>21.02	?	v	17580
80	15.48	0.13	v	17580
647	17.75	0.33	v	17580
5263.5	>19.77	?	v	17580
659	19.28	0.35	b	17580
5366	>20.32	?	b	17580
431.5	18.86	0.14	u	17580
3620	>20.14	?	u	17580
3586	>20.31	?	uvw1	17580
5465	>20.16	?	uvm2	17580
3245	>20.46	?	uvw2	17580
57204	22.7	0.3	R	17580
834	18.59	0.05	R	17584
1179	18.96	0.05	R	17584
1437	19.06	0.07	R	17584
1693	19.41	0.07	R	17584
1977	19.59	0.08	R	17584
18365	21.73	0.13	R	17584
163260	23.9	0.3	R	17588
27.98	13.11	0.02	Unfiltered	17590
180.38	15.87	0.09	Unfiltered	17590
