date	time	exp	mag	magerr	band	source
2017-01-14	01:50:00	1320	22.3	0.1	g	manual
2017-01-14	01:50:00	1320	22.0	0.1	r	manual
2017-01-14	01:50:00	1320	21.8	0.1	i	manual
2017-01-14	01:50:00	1320	21.6	0.1	z	manual
2017-01-14	01:50:00	1080	20.9	0.2	J	manual
2017-01-14	01:50:00	1080	20.8	0.3	H	manual
2017-01-13	10:25:33	147	18.27	0.06	white	manual
2017-01-13	10:33:45	186	19.56	0.11	white	manual
2017-01-13	10:43:48	97	19.65	0.17	white	manual
2017-01-13	12:10:57	196	20.64	0.26	white	manual
2017-01-13	10:34:34	136	19.09	0.36	v	manual
2017-01-13	10:33:20	136	19.33	0.19	b	manual
2017-01-13	10:29:05	245	18.76	0.13	u	manual
2017-01-13	10:35:48	116	19.33	0.27	u	manual
2017-01-13	11:17:49	300	19.06	0.11	r	manual
2017-01-13	11:17:49	300	18.84	0.08	i	manual
