time_sec	flux_R	flux_err_R	band	source
576	2.592213972698869e-14	8.733474258158913e-16	R	Li_Liang
996	1.4494746343861424e-14	6.029595702579039e-16	R	Li_Liang
1596	1.0224509869113868e-14	4.251164030446827e-16	R	Li_Liang
2376	5.827970625394904e-15	6.006481792378616e-16	R	Li_Liang
6786	2.568156302418601e-15	3.113108733492627e-16	R	Li_Liang
9036	1.575777403357549e-15	4.3650538500291017e-16	R	Li_Liang
8406	1.33520070055487e-15	3.695839624304896e-16	R	Li_Liang
112116	2.2975075117655865e-15	2.5765559611143464e-16	R	Li_Liang
178356	1.6178783263480178e-15	3.442419631350713e-16	R	Li_Liang
181866	1.6178783263480178e-15	2.408069556215979e-16	R	Li_Liang
197916	9.92378899061052e-16	1.6590514553044208e-16	R	Li_Liang
284256	1.0284654044814537e-15	1.9109009753024453e-16	R	Li_Liang
346836	1.0104221517712528e-15	8.643224732007043e-17	R	Li_Liang
354756	8.119463719590425e-16	8.387552585372786e-17	R	Li_Liang
438156	5.412975813060283e-16	6.579109002693423e-17	R	Li_Liang
870036	3.5725640366197867e-16	4.337461569363511e-17	R	Li_Liang
