z=   1.6920000e+00 0.
Total_Energy(erg)    4.4983481007340300e+08    1.4982694191891763e+09
   1.4221867e+09   1.5252208e+09   3.3363517166954987e+11   3.4714428e+08   1.5215323210463452e+09
   1.4978666e+09   1.5252208e+09                     -NaN            -NaN   1.5244930944034882e+09
   1.5207192e+09   1.5252208e+09                     -NaN   1.5248398e+09   1.5252208426717331e+09
   2.8183733e+10   1.5184905e+09   1.5251966738597934e+09   1.5250769e+09   1.5252208426717331e+09
            -NaN   1.5146481e+09   1.5252138101198490e+09   1.5251849e+09   1.5252208426717331e+09
            -NaN   1.5252208e+09   4.9732210774809746e+10   1.3776408e+09   1.5247457192022541e+09
   1.5222865e+09   1.5252208e+09                     -NaN   1.2976373e+09   1.5250797090997396e+09
   1.5245005e+09   1.5252208e+09                     -NaN   1.5252208e+09   1.5252208426717331e+09
   1.5252208e+09   1.5252208e+09   1.5252208426717331e+09   1.5252208e+09   1.5252208426717331e+09
   1.5252208e+09   1.5252208e+09   1.5252208426717331e+09   1.5252208e+09   3.2448709904317957e+11
   1.7952415e+10   4.0869954e+10   1.5252208426717331e+09   2.7519167e+13   3.9982957315436078e+11
   1.0698800e+10   2.3066521e+10   1.5252208426717331e+09   2.0968018e+13   1.4745687210366642e+09
   1.3726780e+09   1.5252208e+09                     -NaN            -NaN   1.5043330412605815e+09
   1.4305559e+09   1.5252208e+09                     -NaN   1.5247870e+09   1.5252208426717331e+09
            -NaN   1.3704139e+09   1.5251059314319227e+09   1.5247849e+09   1.5252208426717331e+09
            -NaN   1.5252208e+09                     -NaN   1.2945081e+09   1.5250724728656392e+09
   1.5245042e+09   1.5252208e+09                     -NaN   1.5252208e+09   1.5252208426717331e+09
   1.5252208e+09   1.5252208e+09   1.5252208426717331e+09   1.5252208e+09                     -NaN
            -NaN            -NaN   1.5252208426717331e+09            -NaN   1.0938026787273943e+09
   7.4875596e+08   1.5252208e+09                     -NaN   1.5247085e+09   1.5252208426717331e+09
            -NaN   1.5252208e+09                     -NaN   1.5252208e+09
Total_Energy_common(erg)            -NaN                      -NaN
T_min_T_max    1.5399331172126213e+02    4.9887072225108232e+03
